;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
61;acheter;;aS6tE;;;aS6tEr;aS6ta;aSEt6rô;aSEt6rE;;aSEt6ra;aSEt6rô;aSEt6ra;aS6tjô;aS6tE;;aS6tE;aS6tE;aS6tE;aS6te;;;;;;;aS6tô;aS6te;aSEt;aS6tâ;;aSEt6rE;aSEt6rje;aSEt6rE;aSEt6rE;;aS6tô;aSEt;aS6te;aSEt;aSEt;aSEt;;;;;aSEt;;
62;achever;;aS6vE;;;aS6vEr;aS6va;;;;;aSEv6rô;aSEv6ra;aS6vjô;;;;aS6vE;aS6vE;aS6ve;;;;;;aS6va;aS6vô;aS6ve;aSEv;aS6vâ;;;;;;;;aSEv;aS6ve;;aSEv;aSEv;;;;;;;
63;achopper;;;;;;aSOpa;;;;;;;;;;;;aSOpE;aSOpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;acquiescer;;akjEsE;;;;akjEsa;;;;;;;;akjEsE;;;;akjEsE;akjEse;;;;;;;;;akjEs;;;;;;;;;akjEs;;;;akjEs;;;;;;;
65;acquitter;;;;;;;;;;;;;;;;;;akitE;akite;;;;;;;;;akit;;;;;;;akit6rE;;akit;;;;akit;;;akit;;;;
66;acquérir;;aki;;;;aki;;;;;;;;;;;;akErE;akErir;;;;;;;;;;;;;;;;;;;;;;akjEr;;;;;;;akjEr
67;actionner;;;;;;;;;;;;;;;;;aksjOnE;;;;;;;;;;;aksjOn;;;;;;;;;aksjOn;aksjOne;;;aksjOn;;;;;;;
68;activer;;;;;;aktiva;;;;;;;;;;;;aktivE;aktive;;;;;;;;aktive;aktiv;;;;;;;;;aktiv;aktive;;aktiv;aktiv;;;;;;;aktiv
69;adapter;;;;;adaptEr;;adapt6rô;;;;;;;;;;adaptE;adaptE;adapte;;;;;;;;;adapt;;;;;;;;;adapt;;;;adapt;;;;;;;
70;additionner;;;;;;;;;;;;;;;;;;;adisjOne;;;;;;;;;adisjOn;adisjOnâ;;;;;;;;adisjOn;;;;adisjOn;;;;;;;
71;adhérer;;;;;;;;;;;;;;adErE;;;adErE;adErE;adEre;;;;;;;;adEre;adEr;;;;;;;;;adEr;;;;adEr;;;;;;;
72;adjoindre;;;;;;;;;;;;;;;;;;;adZwêdr;;;;;;;;;;adZwaJâ;;;;;;;;adZwê;;;;adZwê;;;;;;;
73;adjurer;;;;;;;;;;;;;;;;;;adZyrE;;;;;;;;;;;adZyrâ;;;;;;;;adZyr;;;;adZyr;;;;;;;
74;admettre;;admi;;;;admi;;;admEtre;admEtra;;admEtra;;;admEtje;admEtE;admEtE;admEtE;admEtr;;;;;;admi;admEtô;admEte;admE;admEtâ;;;;admEtrE;;admEtrE;admEtô;admE;admEte;admE;admEt;admE;;;;;admEt;;admEt
75;administrer;;;;;;;;;;;;;;;;;administrE;;administre;;;;;;;;;administr;;;;;;;;;administr;;;administr;administr;;;;;;;
76;admirer;;admirE;;;admirEr;admira;;;;;;;admirjô;admirE;admirje;admirE;admirE;admirE;admire;;;;;;;admirô;admire;admir;admirâ;;;;;;;admirô;admir;admire;admir;admir;admir;;;;;;;
77;adonner;;adOnE;;;;adOna;;;;;;;;;;;;adOnE;adOne;;;;;;;;;;;;;;;;adOn6rE;;adOn;;;adOn;adOn;;;;;;;
78;adopter;;;;;;adOpta;;;;;;;;;;;;adOptE;adOpte;;;;;;;adOptô;;adOpt;;;;;;adOpt6rE;;;adOpt;;;;adOpt;;;;;;;
79;adorer;;;;;;;;adOr6rE;adOr6re;adOr6ra;;adOr6ra;adOrjô;adOrE;;adOrE;adOrE;adOrE;adOre;;;;;;;adOrô;adOre;adOr;adOrâ;;adOr6rE;;adOr6rE;adOr6rE;adOr6rE;adOrô;adOr;adOre;adOr;adOr;adOr;;;;;;adOr;adOr
80;adosser;;;;;;adOsa;;;;;;;;;;;;adOsE;adOse;;;;;;;;;ados;;;;;;;;;ados;;;;ados;;;;;;;
81;adouber;;;;;;;;;;;;;;;;;;;adube;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;adoucir;;;;;;adusi;;;;;;;;;;;adusisE;adusisE;adusir;;;;;;;;adusise;;;;;;;;;;;;adusi;adusis;adusi;;;;;;;
83;adresser;;adrEsE;;;;adrEsa;;;adrEs6re;adrEs6ra;adrEs6rô;adrEs6ra;adrEsjô;adrEsE;;adrEsE;adrEsE;adrEsE;adrEse;;;;;;adrEsa;;adrEse;adrEs;adrEsâ;;;;adrEs6rE;;adrEs6rE;adrEsô;adrEs;adrEse;adrEs;adrEs;adrEs;;;adrEs;;;;adrEs
84;adultérer;;;;;;;;;;;;;;;;;adyltErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;advenir;;;;;;advê;;;;;;advjêdra;;;;;;adv6nE;adv6nir;;;;;;;;;;;;;;;;advjêdrE;;;;;advjEn;advjê;;;;;;;advjEn
86;affaiblir;;;;;;afEbli;;;;;;afEblira;;;;;;afEblisE;afEblir;;;;;;;;;afEbli;;;;;;;;;afEbli;;afEbli;afEblis;afEbli;;;;;;;
87;affairer;;;;;;afEra;;;;;;;;afErE;;;afErE;afErE;afEre;;;;;;;;;afEr;;;;;;;;;afEr;;;afEr;afEr;;;;;;;
88;affaisser;;;;;;afEsa;;;;;;;;;;;afEsE;;;;;;;;;;;afEs;;;;;;;;;;;;afEs;afEs;;;;;;;
