;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
3351;souscrire;;;;;;;;;;;;;;;;;;;suskrir;;;;;;;;;suskri;;;;;;;;;;;suskri;;suskri;;;;;;;
3352;soustraire;;;;;;;;;;;;;;;;;;;sustrEr;;;;;;;;;;sustrEjâ;;;;;;;;;;;;sustrE;;;;;;;
3353;soutenir;;;;;sutêr;sutê;;sutjêdrE;;;sutjêdrô;sutjêdra;;sut6nE;;sut6nE;sut6nE;sut6nE;sut6nir;;;;;;;;sut6ne;sutjê;sut6nâ;;sutjêdrE;;sutjêdrE;sutjêdrE;;sut6nô;sutjê;sut6ne;sutjê;sutjEn;sutjê;;;sutjEn;;;;sutjEn
3354;soutirer;;;;;;;;;;;;;;;;;;;sutire;;;;;;;;;;;;;;;;;;;;;sutir;;;;;;;;
3355;souvenir;;suvê;;;;suvê;;suvjêdrE;suvjêdre;suvjêdra;suvjêdrô;suvjêdra;;suv6nE;suv6nje;suv6nE;suv6nE;suv6nE;suv6nir;;;;;;suvê;suv6nô;suv6ne;suvjê;suv6nâ;;suvjêdrE;;suvjêdrE;suvjêdrE;suvjêdrE;suv6nô;suvjê;suv6ne;suvjê;suvjEn;suvjê;;;suvjEn;suv6nje;;;suvjEn
3356;soûler;;;;;;;;;;;;;;;;;;;sule;;;;;;;;;sul;;;sul6rE;;;;;;sul;;;sul;sul;;;;;;;
3357;sprinter;;;;;;;;;;;;;;;;;;;sprinte;;;;;;;;;;;;;;;;;;sprint;;;;;;;;;;;
3358;spécialiser;;;;;;;;;;;;;;;;;;;spEsjalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3359;spécifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;spEsifi;;;;;;;;;;;;;spEsifi;;;;;;;
3360;spéculer;;;;;;;;;;;;;;;;;;;spEkyle;;;;;;;;;spEkyl;spEkylâ;;;;;;;;spEkyl;;;;spEkyl;;;;;;;
3361;stabiliser;;;;;;;;;;;;;;;;;;;stabilize;;;;;;;;stabilize;stabiliz;;;;;;;;;stabiliz;;;stabiliz;;;;;;;;
3362;stagner;;;;;;;;;;;;;;;;;;stagnE;;;;;;;;;;stagn;stagnâ;;;;;;;;stagn;;;;stagn;;;;;;;
3363;stationner;;;;;;;;;;;;;;;;;stasjOnE;stasjOnE;;;;;;;;;;stasjOn;stasjOnâ;;;;;;;;;;;;stasjOn;;;;;;;
3364;statuer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;statyâ;;;;;;;;;;;;;;;;;;;
3365;statufier;;;;;;;;;;;;;;;;;;;statyfje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3366;stigmatiser;;;;;;;;;;;;;;;;;;stigmatizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3367;stimuler;;;;;;;;;;;;stimyl6ra;;;;;;stimylE;stimyle;;;;;;;;;stimyl;;;;;;;;;stimyl;;;stimyl;stimyl;;;;;;;
3368;stipuler;;;;;;;;;;;;;;;;;;stipylE;;;;;;;;;;stipyl;;;;;;;;;;;;;stipyl;;;;;;;
3369;stocker;;;;;;;;;;;;;;;;;stOkE;;stOke;;;;;;;;;;;;;;;;;;stOk;;;stOk;;;;;;;;
3370;stopper;;;;;stOpEr;stOpa;;;;;;stOp6ra;stOpjô;;;;;stOpE;stOpe;;;;;;;;stOpe;stOp;stOpâ;;;;;;;stOpô;stOp;stOpe;;;stOp;;;;;;;
3371;stresser;;;;;;;;;;;;;;;;;;;strEse;;;;;;;;;strEs;;;;;;;;;strEs;;;;strEs;;;;;;;
3372;structurer;;;;;;stryktyra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3373;stupéfier;;;;;;;;;;;;;;;;;;stypEfjE;;;;;;;;;;;;;;;;;;;;;;;stypEfi;;;;;;;
3374;stériliser;;;;;;;;;;;;;;;;;;;stErilize;;;;;;;;stErilize;;;;;;;;;;;;;;;;;;;;;
3375;subdiviser;;;;;;;;;;;;;;;;;;sybdivizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3376;subir;;;;;;;sybirô;sybirE;sybire;sybira;;sybira;;sybisE;;sybisE;sybisE;sybisE;sybir;;;;;;;;sybise;sybi;sybisâ;;;;;sybirE;;;sybi;sybise;sybi;sybis;sybi;;;sybis;;;;sybis
3377;subjuguer;;;;;;;;;;;;;;;;;;sybZygE;sybZyge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3378;sublimer;;;;;;;;;;;;;;syblimE;;;;;syblime;;;;;;;;;;;;;;;;;;;;syblim;;syblim;;;;;;;syblim
3379;submerger;;;;;;sybmErZa;;;;;;sybmErZ6ra;;;;;;;sybmErZe;;;;;;;;;;;;;;;;sybmErZ6rE;;sybmErZ;;;;sybmErZ;;;;;;;
3380;subodorer;;;;;;;;;;;;;;;;;;sybOdOrE;;;;;;;;;;;;;;;;;;;sybOdOr;;;;sybOdOr;;;;;;;
3381;subordonner;;;;;;;;;;;;;;;;;;;sybOrdOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3382;subsister;;;;;;sybzista;;;;;;;;;;;sybzistE;sybzistE;sybziste;;;;;;;;;sybzist;;;;;;sybzist6rE;;;sybzist;;;sybzist;sybzist;;;;;;;
3383;substituer;;sybstityE;;;;;;;;;;;;;;;sybstityE;sybstityE;sybstitye;;;;;;;;;;sybstityâ;;;;;;;;;;;;;;;;;;;
3384;subvenir;;;;;;;;;;;;;;;;;;;sybv6nir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3385;subventionner;;;;;;;;;;;;sybvâsjOn6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sybvâsjOn;;;;;;;
3386;succomber;;;;;sykôbEr;sykôba;;sykôb6rE;;;;;;;;;;sykôbE;sykôbe;;;;;;;;;sykôb;;;sykôb6rE;;;;;;sykôb;;;;sykôb;;;;;;;
3387;succéder;;;;;syksEdEr;syksEda;;;;;syksEd6rô;syksEd6ra;;;;;syksEdE;syksEdE;syksEde;;;;;;;;;syksEd;syksEdâ;;;;;;syksEd6rE;;syksEd;;;syksEd;syksEd;;;;;;;
3388;sucer;;;;;;;;;;;;;;;;;sysE;sysE;syse;;;;;;;;syse;sys;sysâ;;;;;;;;sys;;sys;sys;sys;;;sys;;;;
3389;sucrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;sykr;;;;;;;sykr6rE;;sykr;;;;;;;;;;;
3390;suer;;;;;;;;;;;;;;syE;;;syE;syE;sye;;;;;;;;;sy;syâ;;;;;;;;sy;sye;;sy;sy;;;;;;;sy
3391;suffire;;;;;syfir;syfi;;;;;syfirô;syfira;syfizjô;;;;syfizE;syfizE;syfir;;;;;;syfi;;;;syfizâ;;;;;syfirE;syfirE;;;;syfi;syfiz;syfi;;;;;;;
3392;suffoquer;;;;;;syfOka;;;;;;;syfOkjô;;;;;syfOkE;syfOke;;;;;;;;;;;;;;;;;;syfOk;;;syfOk;syfOk;;;;;;;
3393;suggérer;;;;;;syZEra;;;;;;;;syZErE;;syZErE;;syZErE;syZEre;;;;;;;;syZEre;syZEr;syZErâ;;syZEr6rE;;;;;syZErô;syZEr;syZEre;syZEr;syZEr;syZEr;;;syZEr;;;;
3394;suicider;;;;;;;;sHisid6rE;;;;;;;;;;sHisidE;sHiside;;;;;;;sHisidô;;sHisid;;;;;;;;;sHisid;sHiside;sHisid;sHisid;sHisid;;;;;;;
3395;suinter;;;;;;;;;;;;;;;;;;sHêtE;sHête;;;;;;;;;sHêt;sHêtâ;;;;;;;;;;;sHêt;sHêt;;;;;;;
3396;suivre;;sHivi;;;sHivir;sHivi;sHivrô;sHivrE;sHivre;;sHivrô;sHivra;sHivjô;sHivE;sHivje;sHivE;sHivE;sHivE;sHivr;;;;;;sHivi;sHivô;sHive;sHi;sHivâ;sHivriô;sHivrE;;sHivrE;sHivrE;sHivrE;sHivô;sHi;sHive;;sHiv;sHi;;;sHiv;;sHiv;sHiv;sHiv
3397;sulfater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sylfatâ;;;;;;;;;;;;;;;;;;;
3398;superposer;;;;;;;;;;;;;;;;;;;sypErpOze;;;;;;;;;;sypErpOzâ;;;;;;;;sypErpoz;;;sypErpoz;sypErpoz;;;;;;;
3399;superviser;;;;;;sypErviza;;;;;;sypErviz6ra;;;sypErvizje;;;sypErvizE;sypErvize;;;;;;;;;;;;;;;;;;sypErviz;;;sypErviz;;;;;;;;
3400;supplanter;;;;;;;;;;;;;;;;;;;syplâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3401;supplicier;;;;;;;;;;;;;;;;;;;syplisje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3402;supplier;;sypliE;;;;syplia;;;;;syplirô;;;sypliE;;sypliE;;sypliE;syplie;;;;;;;;;sypli;sypliâ;;;;;;;;sypli;;sypli;sypli;sypli;;;sypli;;;;
3403;suppléer;;;;;;;;;;;;;;;;;;;syplEe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3404;supporter;;;;;;sypOrta;sypOrt6rô;sypOrt6rE;;;;sypOrt6ra;;sypOrtE;;sypOrtE;sypOrtE;sypOrtE;sypOrte;;;;;;sypOrta;;sypOrte;sypOrt;sypOrtâ;;sypOrt6rE;;sypOrt6rE;;sypOrt6rE;sypOrtô;sypOrt;sypOrte;sypOrt;sypOrt;sypOrt;;;sypOrt;;;sypOrt;
3405;supposer;;sypOzE;;;;sypOza;;sypOz6rE;;;;;;sypOzE;;sypOzE;;sypOzE;sypOze;;;;;;;sypOzô;sypOze;sypoz;sypOzâ;;;;;;sypOz6rE;sypOzô;sypoz;sypOze;;;sypoz;;;;;;;
3406;supprimer;;;;;;syprima;syprim6rô;syprim6rE;;;;;;;;;;syprimE;syprime;;;;;;syprima;syprimô;syprime;syprim;syprimâ;;;;;syprim6rE;syprim6rE;syprimô;syprim;syprime;;;syprim;;;;;;;
3407;suppurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sypyr;;;;;;;
3408;supputer;;;;;;;;;;;;;;;;;;sypytE;sypyte;;;;;;;;;sypyt;;;;;;;;;;;;sypyt;;;;;;;;
3409;surcharger;;;;;;;;;;;;;;;;;;;syrSarZe;;;;;;;;;syrSarZ;;;;;;;;;syrSarZ;;;;;;;;;;;
3410;surenchérir;;;;;;;;;;;;;;;;;;;syrâSErir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3411;surestimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrEstim;;;;;;;;;;;
3412;surfer;;;;;;;;;;;;;;;;;;syrfE;syrfe;;;;;;;;;syrf;syrfâ;;;;;;;;syrf;;;;syrf;;;;;;;
3413;surgir;;;;;syrZir;syrZi;;;;;;syrZira;;;;;syrZisE;syrZisE;syrZir;;;;;;;;syrZise;syrZi;syrZisâ;;;;;syrZirE;syrZirE;;syrZi;;syrZi;syrZis;syrZi;;;;;;;
3414;suriner;;;;;;;;;;;;;;;;;;;syrine;;;;;;;;;;;;;;syrin6rE;;;;;;;;;;;;;;;
3415;surmener;;;;;;;;;;;;;;;;;;;syrm6ne;;;;;;;;syrm6ne;syrmEn;;;;;;;;;;syrm6ne;;;;;;;;;;
3416;surmonter;;;;;;;syrmôt6rô;;;;;;;;;;;syrmôtE;syrmôte;;;;;;;;;syrmôt;;;;;;;syrmôt6rE;;syrmôt;;;syrmôt;syrmôt;;;;;;;
3417;surnager;;;;;;syrnaZa;;;;;;;;;;;;syrnaZE;syrnaZe;;;;;;;;;syrnaZ;;;;;;;;;;;;syrnaZ;syrnaZ;;;;;;;
3418;surnommer;;;;;;syrnOma;;;;;;;;;;;syrnOmE;syrnOmE;syrnOme;;;;;;;;;syrnOm;;;syrnOm6rE;;;;;;syrnOm;;;;syrnOm;;;;;;;
3419;surpasser;;;;;;syrpasa;;;;;;;;syrpasE;;;syrpasE;syrpasE;syrpase;;;;;;;syrpasô;;syrpas;;;;;;;syrpas6rE;;syrpas;;;;syrpas;;;;;;;
3420;surplomber;;;;;;;;;;;;;;;;;;syrplôbE;;;;;;;;;;syrplôb;syrplôbâ;;;;;;;;syrplôb;;;;syrplôb;;;;;;;
3421;surprendre;;syrpri;;syrpri;syrprir;syrpri;;;;;syrprâdrô;syrprâdra;;syrpr6nE;;syrpr6nE;syrpr6nE;syrpr6nE;syrprâdr;;;;;;;;syrpr6ne;syrprâ;syrpr6nâ;;;;;syrprâdrE;syrprâdrE;syrpr6nô;syrprâ;syrpr6ne;syrprâ;syrprEn;syrprâ;;;syrprEn;;;;syrprEn
3422;sursauter;;syrsOtE;;;;syrsOta;;;;;;;;;;syrsOtE;;syrsOtE;syrsOte;;;;;;;;;syrsot;syrsOtâ;;;;;syrsOt6rE;;;syrsot;syrsOte;;;syrsot;;;;;;;
3423;surseoir;;;;;;;;;;;;;;;;;;;syrswar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3424;surveiller;;;;;;syrvEja;;syrvEj6rE;;;syrvEj6rô;syrvEj6ra;syrvEjô;syrvEjE;syrvEje;syrvEjE;syrvEjE;syrvEjE;syrvEje;;;;;;;syrvEjô;syrvEje;syrvEj;syrvEjâ;;;;syrvEj6rE;;;syrvEjô;syrvEj;syrvEje;syrvEj;syrvEj;syrvEj;;;;;;;syrvEj
3425;survenir;;;;;;syrvê;;;;;;;;;;;;syrv6nE;syrv6nir;;;;;;;;;;;;;;;;syrvjêdrE;;;;;syrvjEn;syrvjê;;;;;;;syrvjEn
3426;survivre;;syrvEky;;;;syrvEky;;syrvivrE;syrvivre;;syrvivrô;syrvivra;;syrvivE;;;;syrvivE;syrvivr;;;;;;;;;syrvi;syrvivâ;;syrvivrE;;;syrvivrE;syrvivrE;syrvivô;;;syrvi;syrviv;syrvi;;;syrviv;;;;syrviv
3427;survoler;syrvOlam;;;;;syrvOla;;;;;;;syrvOljô;syrvOlE;;;;syrvOlE;syrvOle;;;;;;;;;syrvOl;syrvOlâ;;;;;;;syrvOlô;;;;;syrvOl;;;;;;;
3428;surélever;;;;;;;;;;;;;;;;;;syrEl6vE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3429;susciter;;;;;;sysita;;;;;;;;sysitE;;;sysitE;sysitE;sysite;;;;;;;;;sysit;sysitâ;;;;;;;;sysit;;;sysit;sysit;;;;;;;
3430;suspecter;;;;;;;;;;;;syspEkt6ra;;;;syspEktE;;syspEktE;syspEkte;;;;;;;syspEktô;;syspEkt;;;;;;;;;syspEkt;;;syspEkt;syspEkt;;;;;;;
3431;suspendre;;;;;syspâdir;syspâdi;;;;;;;;syspâdE;;;syspâdE;syspâdE;syspâdr;;;;;;;;syspâde;syspâ;syspâdâ;;;;;;syspâdrE;;syspâ;;syspâ;;;;;;;;;
3432;sustenter;;;;;;;;;;;;;;;;;;;systâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3433;susurrer;;;;;;sysyra;;;;;;;;;;;;;sysyre;;;;;;;;;;sysyrâ;;;;;;;;;;;sysyr;sysyr;;;;;;;
3434;suçoter;;;;;;sysOta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sysOt;;;sysOt;;;;;;;;
3435;swinguer;;;;;;;;;;;;;;;;;swingE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3436;symboliser;;;;;;;;;;;;;;;;;;sêbOlizE;sêbOlize;;;;;;;;;sêbOliz;;;;;;;sêbOliz6rE;;sêbOliz;;;sêbOliz;sêbOliz;;;;;;;
3437;sympathiser;;;;;;;;;;;;;;;;;;;sêpatize;;;;;;;;;;sêpatizâ;;;;;;;;sêpatiz;;;;sêpatiz;;;;;;;
3438;synchroniser;;;;;;;;;;;;;;;;;;;sêkrOnize;;;;;;;sêkrOnizô;sêkrOnize;;;;;;;;;;;;;;;;;;;;;
3439;syndiquer;;;;;;;;;;;;;;;;;;;sêdike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3440;sécher;;;;;sESEr;;;;;;;;;;;;sESE;sESE;sESe;;;;;;;;;sES;sESâ;;;;;;;;sES;sESe;sES;sES;sES;;;;;;;sES
3441;sécréter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sEkrEt;;;;;;;
3442;sécuriser;;;;;;;;;;;;;;;;;;;sEkyrize;;;;;;;;sEkyrize;;;;;;;;;;;sEkyrize;;;;;;;;;;
3443;sédentariser;;;;;;;;;;;;;;;;;sEdâtarizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3444;séduire;;;;;;;;;;;;;;;;;;sEdHizE;sEdHir;;;;;;;;sEdHize;;;;;;;;;;;;;;sEdHi;;;sEdHiz;;;;
3445;séjourner;;;;;;;;;;;;;;;;;sEZurnE;sEZurnE;sEZurne;;;;;;;;;sEZurn;;;;;;;;;sEZurn;;;sEZurn;sEZurn;;;;;;;
3446;sélectionner;;;;;;sElEksjOna;;;;;;sElEksjOn6ra;;;;;;;sElEksjOne;;;;;;;;;sElEksjOn;;;;;;;;;;;;;sElEksjOn;;;;;;;
3447;séparer;;;;;sEparEr;sEpara;sEpar6rô;sEpar6rE;;;;sEpar6ra;sEparjô;;;;sEparE;sEparE;sEpare;;;;;;sEpara;sEparô;sEpare;sEpar;sEparâ;;sEpar6rE;;;;;sEparô;sEpar;sEpare;;sEpar;sEpar;;;;;;;
3448;séquestrer;;;;;;;;;;;;;;;;;;sEkEstrE;sEkEstre;;;;;;;;;;;;;;;;;;sEkEstr;;;;;;;;;;;
3449;sévir;;;;;;sEvi;;;;;;;;;;;sEvisE;sEvisE;sEvir;;;;;;;;;;;;;;;;;;;;;sEvis;sEvi;;;;;;;
3450;tabasser;;;;;;;;;;;;;;tabasE;;;;;tabase;;;;;;;;;tabas;tabasâ;;;;tabas6rE;;;;tabas;;;tabas;tabas;;;;;;;
3451;tabler;;;;;;;;;;;;;;;;;;;table;;;;;;;;;;;;;;;;;;tabl;;;;tabl;;;;;tabl;;
3452;tabuler;;;;;;tabyla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3453;tacher;;;;;;;;;;;;taS6ra;;;;;;taSE;taSe;;;;;;;;;taS;taSâ;;;;;;;;taS;;;;taS;;;;;;;
3454;tacheter;;;;;;;;;;;;;;;;;;;taS6te;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3455;tailler;;;;;;;;taj6rE;;;;;;tajE;;;tajE;tajE;taje;;;;;;;;;taj;;;;;;;;;taj;;taj;taj;taj;;;;;;;taj
3456;taire;;ty;;;tyr;ty;;tErE;;;tErô;tEra;tEzjô;tEzE;;tEzE;tEzE;tEzE;tEr;;;;;;ty;tEzô;tEze;tE;tEzâ;;;;tErE;;tErE;tEzô;tE;tEze;tE;tEz;tE;;;tEz;;;;tEz
3457;taler;;;;;;;;;;;;;;;;;;talE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3458;talonner;;;;;;;;;;;;;;;;;;talOnE;talOne;;;;;;;;;;talOnâ;;;;;;;;talOn;;;;;;;;;;;
3459;talquer;;;;;;;;;;;;;;;;;;;talke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3460;tambouriner;;;;;;;;;;;;;;;;;;tâburinE;tâburine;;;;;;;;;;tâburinâ;;;;;;;;tâburin;;;tâburin;;;;;;;;
3461;tamiser;;;;;;;;;;;;;;;;;;;tamize;;;;;;;;;tamiz;;;;;;;;;;;;;;;;;;;;
3462;tamponner;;;;;;;;;;;;;;tâpOnE;;;tâpOnE;;tâpOne;;;;;;;;;tâpOn;;;;;;;;;;;;;tâpOn;;;;;;;
3463;tanguer;;;;;;;;;;;;;;;;;;tâgE;tâge;;;;;;;;;;;;;;;;;;tâg;;;;tâg;;;;;;;
3464;tanner;;;;;;tana;;;;;;;;;;;;;tane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3465;taper;;;;;;tapa;;;;tap6ra;;;;tapE;;tapE;tapE;tapE;tape;;;;;;;;tape;tap;tapâ;;;;tap6rE;;tap6rE;tapô;tap;;tap;tap;tap;;;tap;;tap;;tap
3466;tapiner;;;;;;;;;;;;;;;;;;;tapine;;;;;;;;;;;;;;;;;;tapin;;;;tapin;;;;;;;
3467;tapir;;;;;;;;;;;;;;;;;;;tapir;;;;;;;;;tapi;;;;;;;;;tapi;;;;tapi;;;;;;;
3468;tapisser;;;;;;;;;;;;;;;;;tapisE;tapisE;tapise;;;;;;;;;tapis;tapisâ;;;;;;;;;;;;;;;;;;;
3469;tapoter;;;;;;tapOta;;;;;;;;;;;tapOtE;tapOtE;tapOte;;;;;;;;;tapOt;tapOtâ;;;;;;;;tapOt;;;tapOt;tapOt;;;;;;;
3470;taquiner;;;;;;;;;;;;;;takinE;;;;takinE;takine;;;;;;;;;takin;;;;;;;;;takin;;;takin;takin;;;;;;;takin
3471;tarabuster;;;;;tarabystEr;;;;;;;;;;;;;;tarabyste;;;;;;;;;;;;;;;;;;tarabyst;;;;;;;;;;;
3472;tarauder;;;;;;;;;;;;;;;;;;;tarOde;;;;;;;;;tarod;;;;;;;;;tarod;;;tarod;tarod;;;;;;;
3473;tarder;tardam;tardE;;;tardEr;tarda;;;;tard6ra;;tard6ra;;tardE;;tardE;;tardE;tarde;;;;;;;;;tard;tardâ;;tard6rE;;;;tard6rE;;tard;tarde;tard;tard;tard;;;;;;;
3474;tarer;;;;;;tara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3475;targuer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;targ;;;;;;;;;;;
3476;tarir;;;;;;tari;;;;;;;;;;;;;tarir;;;;;;;;;;;;;;;;;;;;;;tari;;;;;;;
3477;tartiner;;;;;;;;;;;;;;;;;;;tartine;;;;;;;;;tartin;;;;;;;;;;;;;tartin;;;;;;;
3478;tartir;;;;;;;;;;;;;;;;;;;tartir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3479;tasser;;tasE;;;tasEr;tasa;;;;;;;;;;;tasE;tasE;tase;;;;;;;;;;tasâ;;;;;;;;tas;;;;tas;;;;;;;
3480;tatouer;;;;;;;;;;;;;;;;;;;tatue;;;;;;;;;tatu;;;;;;;;;;tatue;;;tatu;;;;;;;
3481;taxer;;;;;;;;;;;;;;;;;;;takse;;;;;;;;;;;;;;;;;;taks;;;;taks;;;;;;;
3482;teindre;;;;;;;;;;;;;;;;;;tEJE;têdr;;;;;;;;;tê;;;;;;;;;;;tê;;tê;;;;;;;
3483;teinter;;;;;;;;;;;;;;;;;;têtE;;;;;;;;;;;têtâ;;;;;;;;;;;têt;;;;;;;;
3484;temporiser;;;;;;;;;;;;;;;;;;;tâpOrize;;;;;;;tâpOrizô;;;;;;;;;;;;;;;;;;;;;;
3485;tempérer;;;;;;;;;;;;;;;;;;tâpErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3486;tempêter;;;;;;tâpEta;;;;;;;;;;;;tâpEtE;;;;;;;;;;;tâpEtâ;;;;;;;;tâpEt;;;tâpEt;tâpEt;;;;;;;
3487;tenailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;t6naj;t6najâ;;;;;;;;;;;;t6naj;;;;;;;
3488;tendre;;tâdi;;;tâdir;tâdi;;;;;;tâdra;;tâdE;;tâdE;tâdE;tâdE;tâdr;;;;;;;;tâde;tâ;tâdâ;;;;;;tâdrE;tâdô;tâ;tâde;tâ;tâd;tâ;;;tâd;;;;
3489;tenir;;tê;;tê;têr;tê;;tjêdrE;tjêdre;tjêdra;tjêdrô;tjêdra;t6njô;t6nE;t6nje;t6nE;t6nE;t6nE;t6nir;;;;;;tê;t6nô;t6ne;tjê;t6nâ;;tjêdrE;tjêdrie;tjêdrE;tjêdrE;tjêdrE;t6nô;tjê;t6ne;tjê;tjEn;tjê;;t6njô;tjEn;;tjEn;;tjEn
3490;tenter;;tâtE;;;tâtEr;tâta;;tât6rE;;;tât6rô;tât6ra;tâtjô;tâtE;;tâtE;tâtE;tâtE;tâte;;;;;;tâta;tâtô;tâte;tât;tâtâ;;tât6rE;;;;tât6rE;tâtô;tât;tâte;tât;tât;tât;;;;;;;tât
3491;tercer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tErs;;;;;;;
3492;tergiverser;;;;;;;;;;;;;;;;;;;tErZivErse;;;;;;;;;;tErZivErsâ;;;;;;;;;;;;;;;;;;;
3493;terminer;;tErminE;;;;tErmina;;tErmin6rE;tErmin6re;;;tErmin6ra;;;;;tErminE;tErminE;tErmine;;;;;;;tErminô;tErmine;tErmin;tErminâ;;;;;;tErmin6rE;tErminô;tErmin;tErmine;tErmin;tErmin;tErmin;;;;;;;
3494;ternir;;;;;;tErni;;;;;;;;;;;tErnisE;tErnisE;tErnir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3495;terrasser;;;;;tErasEr;tErasa;;;;;;;;;;;;tErasE;;;;;;;;;;;;;;;;;;;tEras;;;;;;;;;;;
3496;terrer;;;;;;tEra;;;;;;;;;;;;;tEre;;;;;;;;;tEr;tErâ;;;;;;;;tEr;;;;tEr;;;;;;;tEr
3497;terrifier;;;;;;;;;;;;;;;;;tErifjE;tErifjE;;;;;;;;;;;;;;;;;;;tErifi;;;tErifi;tErifi;;;;;;;
3498;terroriser;;;;;;tErOriza;;;;;;;;;;;tErOrizE;tErOrizE;tErOrize;;;;;;;;;tErOriz;;;;;;;;;tErOriz;;tErOriz;tErOriz;tErOriz;;;;;;;
3499;tester;;;;;;;;;;;;;;tEstE;;tEstE;;;tEste;;;;;;;;tEste;tEst;;;;;;;;;;tEste;tEst;tEst;tEst;;;;;;;
3500;thésauriser;;;;;;;;;;;;;;;;;;;tEzOrize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3501;tictaquer;;;;;;;;;;;;;;;;;;;tiktake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3502;tiller;;;;;;;;;;;;;;;;;;;tije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3503;tinter;;;;;;têta;;;;;;;;;;;;têtE;tête;;;;;;;;;têt;têtâ;;;;;;;;;;;;têt;;;;;;;
3504;tintinnabuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;têtinabyl;;;;;;;;
3505;tiquer;;;;;;tika;;;;;;;;tikE;;;tikE;tikE;;;;;;;;;;;;;;;;;;;tik;;;;;;;;;;;
3506;tirailler;;;;;;;;;;;;;;;;;;tirajE;tiraje;;;;;;;;;;tirajâ;;;;;;;;;;;;;;;;;;;
3507;tirer;;tirE;;;tirEr;tira;tir6rô;tir6rE;tir6re;tir6ra;tir6rô;tir6ra;tirjô;tirE;tirje;tirE;tirE;tirE;tire;;;;;;;tirô;tire;tir;tirâ;;tir6rE;;tir6rE;tir6rE;tir6rE;tirô;tir;tire;tir;tir;tir;;tirjô;tir;;tir;tir;tir
3508;tisonner;;;;;;tizOna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3509;tisser;;;;;;;;;;;;;;;;;;tisE;tise;;;;;;;;tise;tis;tisâ;;;;;;;;tis;tise;;tis;tis;;;;;;;
3510;titiller;;;;;;;;;;;;;;;;;;;titije;;;;;;;;;;;;;;;;;;titij;;;;titij;;;;;;;
