;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
191;contenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtjEn;;;;
192;contenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtâte;;;;;;
193;conter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôt;
194;continuer;;;;;;;;;;kôtinyra;;;;;;kôtinyE;kôtinye;;;;;;kôtiny;;;;;;;;kôtinyô;;kôtinye;;;;;;;kôtinye;;;;kôtiny;;kôtiny
195;contredire;;;;;;;;;;;;;;;;;kôtr6dir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;contrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtr;;;;;;;;;;;;;;
197;contrôler;;;;;;;;;;;;;;;;kôtrOlE;kôtrOle;;;;;;;;;;;;;;;;;;;;;;kôtrOle;;;;;;;kôtrol
198;convaincre;;;;;;;;;;;;;;;;;kôvêkr;;;;;;;;;;;;;;;;;kôvê;;;;;;kôvêky;;;;;;
199;convenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvjê;;;;;;;;;;
200;convertir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvErti;;;;;;
201;convoquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvOke;;;;;;;
202;coopérer;;;;;;;;;;;;;;;;;kOOpEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;corser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOrse;;;;;;;;
204;coter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOte;;;;;;
205;coucher;;;;;;;;;;;;kuSE;;kuSE;;kuSE;kuSe;;;;;;kuS;;;;;;;;;kuS;;;;kuS;;;;;;;;;;kuS
206;coudre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kuzy;;;;;;;
207;couler;;;;;;;;;;;;;;;;kulE;;;;;;;kul;;;;;;;;;kul;;;;;;;;kule;;;;;;kul
208;couper;;;;;;;;;;;;;;;;kupE;;;;;;;;;;;;;;;;;;;;;;;;kupe;;kup;;;;
209;courir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kur;kur;;;;;;;;;;;
210;courtiser;;;;;;;;;;;;;;kurtizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;couvrir;;;;;;;;;;kuvrira;;;;;;kuvrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;coïncider;;;kOêsidEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
