;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
666;précipiter;;;;;;;;;;;;;;;;;prEsipite;;;;;;;;;;;;;;;prEsipit;;;;;;;;;;;;;;
667;préciser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prEsiz
668;précéder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prEsEd;;;;;;;;;;;;;;
669;préférer;;;;;;;;;;;;;;;;prEfErE;;;;;;prEfEre;prEfEr;;;;;;;;;prEfEr;;;;prEfEr;;;;prEfEre;;;;;;prEfEr
670;prélever;;;;;;;prElEv6re;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
671;préparer;;;;;;;;;;;;;;;;;prEpare;;;;;;prEpar;;;;;;;;;prEpar;prEpare;;;;;;;prEpare;;;;prEpar;;
672;présenter;;;;;;;;;;;;;;;;;;;;;;;;prEzâtâ;;;;;;;;prEzât;prEzâte;;;prEzât;;;;prEzâte;;;;;;prEzât
673;présumer;;;;;;;;;;;;;;;;;;;;;;;prEzym;;;;;;;;;;;;;;;;;;;;;;;
674;prévaloir;;;;;;;;;;;;;;;;;prEvalwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
675;prévenir;;;;;;;;;;;;;;;;;prEv6nir;;;;;;prEvjê;;;;;;;;prEv6nô;;prEv6ne;;;;;;;;;;;;;
676;prévoir;;;;;;;;;;;;;;;;;prEvwar;;;;;;;;;;;;;;;;;;;;;prEvy;prEvy;prEvy;;;;;;
677;prêter;;;;;;;;;;;;;;;;;prEte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prEt
678;publier;;;;;;;;;;;;;;;;pybliE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
679;puer;;;;;;;;;;;;;;;;;;;;;;;py;;;;;;;;;;;;;py;;;;;;;;;;
680;punir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pyni;;;;;;;;;;;;;;
681;pédaler;;;;;;;;;;;;;;;;pEdalE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;pêcher;;;;;;;;;;;;;;;;;pESe;;;;;;;;;;;;;;;;;;;;;;;pESe;;;;;;
683;quitter;;;;;;;;;;;;;;;;;kite;;;;;kite;;kitâ;;;;;;;;kit;kite;;;;;;kite;kite;;kit;;;;kit
684;rabattre;;;;;;;;;;;;;;;;rabatE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
685;rabibocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rabibOS;;;;;;;;;;;;;;
686;raccompagner;;;;;;;;;;;;;;rakôpaJE;;;;;;;;;rakôpaJ;;;;;;;;;;;;;;;;;;;;;;;
687;raccrocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rakrOS;;;;;;;;;;
688;racheter;;;;;;;;;;;;;;;;;raS6te;;;;;;;;;;;;;;;;;;;;;;raS6te;;;;;;;
689;raconter;;;;rakôta;;;;;;rakôt6ra;;rakôtE;;;;;rakôte;;;;;;rakôt;;;;;;;;;rakôt;;;;rakôt;;;;rakôte;;;;;;rakôt
690;radier;;;;;;;;;;;;;;;;;radje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691;raffoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rafOl;;;;;;;;;;;
692;rafler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rafle;;;;;;
693;raidir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEdi;;;;;;;
694;rajeunir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;raZ6ni;;;;;;;;;;;;
695;rajouter;;;;raZuta;;;;;;;;;;;;;;;;;;;raZut;;;;;;;;;;;;;;;;;;;;;;;
696;ralentir;;;;;;;;;;;;;;;;;;;;;;;ralâti;;;;;;;;;;;;;ralâti;;;;;;;;;;
697;rallier;;;;;;;;;;;;;;;;;ralje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
698;ramasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ramas;;;;;;;;;;
699;ramener;;;;;;;;;;;;;;;;;ram6ne;;;;;ram6ne;ramEn;;;;;;;;;;;;;ramEn;;;;;;ramEn;;;;
700;ramper;;;;;;;;;;;;;;;;;;;;;;;;râpâ;;;;;;;;;;;;;;;;;;;;;;
701;ranger;;;;;;;;;;;;;;;;;;;;;;;;râZâ;;;;;;;;râZ;;;;;;;râZe;;;;;;;
702;rappeler;;;;rap6la;;;;;;;;rap6lE;;;;;;;;;;;rapEl;;;;;;;;;rapEl;;;;;;;;;;rapEl;;;;rapEl
703;rapporter;;;;;;;;;;;;;;;;;;;;;;;rapOrt;;;;;;;;;;;;;;;;;;;;;;;rapOrt
704;rapprocher;;;;;;;;;;;;;;;;;;;;;;;raprOS;;;;;;;;;;;;;;;;;;;;;;;
705;rassembler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rasâble;;;;;;;
706;rasseoir;;;;;;;;;;;;;;;;;raswar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;rassurer;;;;;;;;;;;;;;;;;;;;;;;rasyr;;;;;;;;;;;;;;;;;;;;;;;
708;rater;;;;;;;;;;;;;;;;;;;;;;;rat;;;;;;;;;;;;;rat;;;;;;;;;;
709;rattraper;;;;;;;;;;;;;;;;;;;;;;;ratrap;;;;;;;;;;;;;;;;;;;;;;;
710;ravir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ravi;;;;;;
711;rayer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEj;;;;;;;;;;;;;;
712;rebuter;;;;;;;;;;;;;;;;;r6byte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
713;rebâtir;;;;;;;;;;;;;;;;;r6batir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
714;recevoir;;;;;;;;;;;;;;;;r6s6vE;r6s6vwar;;;;;;;;;;;;;;;;;;;;;;r6sy;r6sy;;;;;;
715;rechercher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6SErS;;;;r6SErSe;;;;;;
716;recommencer;;;;;;;;;;;;;;;;r6kOmâsE;r6kOmâse;;;;;;;;;;;;;;;;;;r6kOmâs;;;;;;;;;;;
717;reconduire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6kôdHiz
718;reconnaître;;;;;;;;;;r6kOnEtra;;;;;;;;;;;;r6kOnEse;;;;;;;;;;r6kOnE;;;;;;;;r6kOny;;;;;;
719;reconquérir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6kôkiz;;;;;;;;
720;recoucher;;;;;;;;;;;;;;;;;;;;;;;r6kuS;;;;;;;;;;;;;;;;;;;;;;;
721;recoudre;;;;;;;;;;;;;;;;r6kuzE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
722;recouvrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6kuvErt;;;;;;;;;
723;rectifier;;;;;;;;;;;;;;;;;rEktifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
724;reculer;;;;;;;;;;;;;;;;;;;;;;;r6kyl;;;;;;;;;r6kyl;r6kyle;;;r6kyl;;;;;;;;;;
725;redescendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6dEsâ;;;;;;;;;;;;;;
726;redevenir;;;;;;;;;;;;;;;;r6d6v6nE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
727;redire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6diz
728;redonner;;;;;;;;;;;;;;;;;r6dOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
729;redouter;;;;;;;;;;;;;;;r6dutE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
730;redresser;;;;r6drEsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6drEs;;;;;;;;;;;;;;
731;refaire;;;;;;;;;;;;;;;;;;;;;;;r6fE;;;;;;;;;;;r6fE;;r6fE;r6fEt;;;;;;;;;
732;refermer;;;;;;;;;;;;;;;;;;;;;;;r6fErm;;;;;;;;;r6fErm;;;;;;;;;;;;;;
733;refuser;;;;r6fyza;;;;;;;;;;;r6fyzE;;;;;;;;;;;;;;;;;r6fyz;;;;r6fyz;;;;;;r6fyz;;;;
734;regarder;;;r6gardEr;;;;;;;r6gard6ra;;;;;;;r6garde;;;;;r6garde;r6gard;;;;;;;;r6gardô;r6gard;r6garde;r6gard;;r6gard;;;;r6garde;;r6gard;;;;r6gard
735;regretter;;;;;;;;;;;;;;;;;;;;;;;r6grEt;;;;;;;;;r6grEt;;;;r6grEt;;;;;;r6grEt;;;;r6grEt
736;rejeter;;;;;;;;;;;;;;;;;;;;;;;r6ZEt;;;;;;;;;;;;;;;;;;;;;;;
737;rejoindre;;;;r6ZwaJi;;;;;;;;;;;;;r6Zwêdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
738;rejouer;;;;;;;;;;;;;;;;;r6Zue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
739;relever;;;;r6l6va;;;;;;;;;;;;r6l6vE;;;;;;;;;;;;;;;;r6lEv;;;;;;;;r6l6ve;;;;;;r6lEv
740;relire;;;;;;;;;;;;;;;;;;;;;;;r6li;;;;;;;;;;;;;;;;;;;;;;;
741;relâcher;;;;r6laSa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
742;remarquer;;;;;;;;;;;;;;;;;r6marke;;;;;;;;;;;;;r6mark6rE;;;;;;;;;;;;;;;;
743;rembourser;;;;;;;;;;;;;;;;râbursE;;;;;;;;;;;;;;;;;;;;râburs;;;;;;;;;;
744;remercier;;;;;;;;;;;;;;;;;r6mErsje;;;;;;;;;;;;;;;r6mErsi;;;;;;;;;;r6mErsi;;;;
745;remettre;;;;r6mi;;;;;;;;;;;;;r6mEtr;;;;r6mEtô;;r6mE;;;;;;;;;r6mE;;;r6mEt;;;r6miz;;;;r6mEt;;;;
746;remiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6miz;;;;;;;;;;;;;;
747;remonter;;;;r6môta;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6môt;;r6môt;r6môt;r6môt;;;;;;;;;;
748;remplacer;;;;râplasa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;râplase;;;;;;;;;;;;;
749;remplir;;;;;;;;;;;;;;;;;;;;;;;râpli;;;;;;;;;;;;;;;;râpli;;;;;;;
750;remuer;;;;;;;;;;;;;;;r6myE;;;;;;;;;r6myâ;;;;;;;;;;;;;;r6mye;;;;;;;;
751;rencontrer;;;;râkôtra;;;;;;;;;;;;;râkôtre;;;;;;;;;;;;;;;;;;;râkôtr;;;;râkôtre;;râkôtr;;;;râkôtr
752;rendre;;;;;;;;;;;;;;;;râdE;râdr;;;;;râde;râ;;;;;;;râdrE;;râ;râde;;;râ;;râdy;;râdy;râdjô;râd;;;;râd
753;renouer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6nu;;;;;;;;;;
754;rentrer;;;;râtra;;;;;;;;;;;;;râtre;;;;râtrô;râtre;râtr;;;;;;;;;râtr;râtre;;;;;;;;;;;râtr;;râtr
755;renverser;;;;;;;;;;;;;;;;;râvErse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
756;renvoyer;;;;;;;;;;;;;;;;;râvwaje;;;;;;;;;;;;;;;râvwa;;;;;;;;;;;;;;
757;repartir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6part;;;;;;;;;;;
758;repasser;;;;;;;;;;;;;;;;;r6pase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
759;repentir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6pâ;;;;;;;;;;;;;;
760;reporter;;;;;;;;;;;;;;;;;;;;;;;r6pOrt;;;;;;;;;;;;;;;;;;;;;;;
761;reposer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6poz;;;;;;r6pOze;;;;;;;;r6poz
762;reprendre;r6pri;r6pri;;r6pri;;;;;;;;;;;;;;;;;;r6pr6ne;;;;;;;;;;;;;;r6prâ;;;;;;;;;;
763;reprocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6prOS;;;;;;;;;;;;;;
764;représenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6prEzât;;;;;;;;;;;;;;
765;repérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6pEre;;;;;;
766;respecter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEspEkt;;;rEspEkt;;;;;;;;;;;
767;respirer;;;;rEspira;;;;;;;;;;;;;rEspire;;;;;;rEspir;;;;;;;;;;;;;;;;;;;;;;;rEspir
768;ressaisir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6sEzi;;;;;;;;;;
769;ressasser;;;;;;;;;;;;;;;;r6sasE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
770;ressembler;;;;;;;;;;;;;;;r6sâblE;r6sâblE;r6sâble;;;;;;r6sâbl;;;;;;;;;r6sâbl;;;;r6sâbl;;;;;;r6sâbl;;r6sâbl;;r6sâbl
771;ressentir;;;;;;;;;;;;;;;;;;;;;;;r6sâ;;;;;;;;;;;r6sâ;;;;r6sâti;;;;;;;;
772;resserrer;;;;;;;;;;;;;;;;r6sErE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
773;ressortir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6sOr;;;;r6sOrti;;;;;;
774;ressusciter;;;;;;;;;;;;;;;;rEsysitE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
775;rester;;;;rEsta;;;;;;rEst6ra;;;;;;rEstE;rEste;;;;;rEste;rEst;;;;;;;;;rEst;rEste;rEst;;rEst;;rEste;;rEste;;;;;;rEst
776;restituer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEstitye;;;;;;;
777;retarder;;;;;;;;;;;;;;;;;r6tarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
778;retenir;;;;;;;;;;;;;;;;;r6t6nir;;;;;;r6tjê;;;;;;;;;;;;;;r6t6ny;;;;;;;;;
779;retirer;;;;;;;;;;;;;;;;;;;;;;;r6tir;;;;;;;;;;;;;;;;;r6tire;;;;;;
780;retourner;;;;;;;;;;r6turn6ra;;;;;;r6turnE;r6turne;;;;;;r6turn;;;;;;;;;r6turn;;;;r6turn;;;r6turne;r6turne;;r6turn;;;;r6turn
781;retrouver;;;;;;;;;;;;;;;;r6truvE;r6truve;;;;;;r6truv;;;;;;;;;;;;;r6truv;;;;r6truve;;;;;;r6truv
782;revenir;;;;;;r6vjêdrE;;;;r6vjêdra;;;;;;;r6v6nir;;;;;;r6vjê;;;;;;;r6vjêdrE;;r6vjê;;r6vjê;;r6vjê;;r6v6ny;;r6v6ny;;;;r6vjEn;r6vjEn;r6vjEn
783;revoir;;;;r6vi;;;;;;;;;;;;;r6vwar;;;;;;;;;;;;;;;;;;;;;;;;;r6vwa;;;;
784;revêtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vEty;;r6vEty;;;;;;
785;rigoler;;;;;;;;;;;;;;;;;;;;;;;rigOl;;;;;;;;;rigOl;;rigOl;;;;;;;;;;;;
786;rincer;;;;;;;;;;;;;;;;;rêse;;;;;;;;;;;;;;;;rêse;;;;;;;;;;;;;
787;rire;;;;;;;;;;;;;;;;rjE;rir;;;;;;;rjâ;;;;;;;;;;ri;;ri;;;;;;;;;;
788;risquer;;;;;;;;;;;;;;;;riskE;riske;;;;;;;;;;;;;;;;;;risk;risk;;;;;;;;;;risk
789;ronfler;;;;;;;;;;;;;;;rôflE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790;ronronner;;;;;;;;;;;;;;;;rôrOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
791;rouler;;;;;;;;;;;;;;;;rulE;rule;;;;;;rul;;;;;;;;;rul;;;;;;;;;;;;;;rul
792;rouvrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ruvr;;;;;;;;;;
793;ruisseler;;;;;;;;;;;;;;;;rHis6lE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
794;rythmer;;;;;;;;;;;;;;;;;;;;;;;ritm;;;;;;;;;;;;;;;;;;;;;;;
795;réagir;;;;;;;;;;;;;;;;;rEaZir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
796;réaliser;rEalizE;;;;;;;;;;;;;;;;;;;;;rEalize;rEaliz;;;;;;;;;;;rEaliz;;;;;;;;;;;;
797;réapparaître;;;;rEapary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798;réchauffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rESof;;;;;;;;;;
799;réclamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEklam;;;;;;;;;;;
800;réconforter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEkôfOrt;;;;;rEkôfOrte;;;;;;
801;récupérer;;;;;;;;;;;;;;;;;rEkypEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802;rédiger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEdiZe;;;;;;
803;réfléchir;;;;;;;;;;;;;;rEflESisE;;;rEflESir;;;;rEflESisô;;;;;;;;;;;;;;;;;;;;;;;;;
804;régler;;;;;;;;;;;;;;;;;rEgle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805;régner;;;;;;;;;;;;;;;;;rEJe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
806;réinventer;;;;;;;;;;;;;;;;;rEêvâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
807;réjouir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEZui;;;;;;;;;;;;;;
808;répandre;;;;;;;;;;;;;;;;;rEpâdr;;;;;;;;;;;;;;;;;;;;;;;rEpâdy;;;;;;
809;réparer;;;;;;;;;;;;;;;;;rEpare;;;;;;rEpar;;;;;;;;;;;;;;;;;;;;;;;
810;répliquer;;;;;;;;;;;;;;;;rEplikE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
811;répondre;rEpôdi;;;rEpôdi;;;;;;;;rEpôdE;;;;;rEpôdr;;;;;;rEpô;rEpôdâ;;;;;;;;rEpô;rEpôde;;;rEpô;;;;rEpôdy;;rEpôd;;;;
812;répéter;;;;;;;;;;;;rEpEtE;;;;rEpEtE;rEpEte;;;;;;rEpEt;;;;;;;;;rEpEt;;;;rEpEt;;;;rEpEte;;;;;;
813;résigner;;;;;;;;;;;;;;;;;rEziJe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
814;résister;;;;;;;;;;;;;;;;;;;;;;;rEzist;;;;;;;;;;;;;;;;;;;;;;;
815;résoudre;;;;;;;;;;rEzudra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEzOly;;;;;;
816;résumer;;;;;;;;;;;;;;;;rEzymE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
817;réunir;;;;;;;;;;;;;;;;;;;;;;;rEyni;;;;;;;;;;;;;;;;;;;;;;;
818;réussir;;;;;;;;;;;;;;;;;;;;rEysi;;;;;;;;;;;;;;;;;;;;rEysi;;;;;;
819;réveiller;;;rEvEjEr;;;;;;;rEvEj6ra;;;;;rEvEjE;;rEvEje;;;;;;rEvEj;;;;;;;;rEvEjô;rEvEj;;rEvEj;;rEvEj;;;;rEvEje;;rEvEj;;;;
820;révolter;;;;;;;;;;;;;;;;;rEvOlte;;;;;;;;;;;;;;;;;;;;;;rEvOlte;;;;;;;
821;révéler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEvEl;;;;;;;;;;;;;;
822;rêver;;;;;;;;;;;;;;;;;;;;;;;;rEvâ;;;;;;;;;;;;;;;;rEve;;;;;;
823;saborder;;;;;;;;;;;;;;;;;;;;;;;sabOrd;;;;;;;;;;;;;;;;;;;;;;;
824;saboter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sabOte;;;;;;;;;;;;;
825;sacrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sakre;;;;;;;;
826;saigner;;;;;;;;;;;;;;;;;;;;;;sEJe;sEJ;;;;;;;;;;;;;;;;;;;;;;;
827;saisir;;;;;;;;;;;;;;;;sEzisE;sEzir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
828;saler;;;;;;;;;;;;;;;;;;;;;;;sal;;;;;;;;;;;;;;;;;;;;;;;
829;salir;;;;;;;;;;;;;;;;;salir;;;;;;;;;;;;;;;;;;;sali;;;;;;;;;;
830;satisfaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;satisfE;;;;;;
831;saurer;;;;;;;;;;;;;sOrje;sOrE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
832;sauter;;;;;;;;;;;;;;;sOtE;;sOte;;;;;;sot;sOtâ;;;;;;;;sot;sOte;;;;;;;sOte;;;;;;
833;sauver;;;;;;sOv6rE;;;;;;;;;;;sOve;;;;;;;;;;;sOv6rE;;;;sov;;;;sov;;;;sOve;;;;;;
834;savoir;;;;sy;;;;sOra;;sOra;savjô;savE;savje;savE;;savE;savwar;;;;;;saS;;;;;;;;;sE;save;sE;sav;sE;;;;sy;;saS;;;;saS
835;savourer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;savure;;;;;;;;
836;scier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;si;;;;;;;;;;
837;secouer;;;;s6kua;;;;;;;;;;;;;;;;;;;s6ku;;;;;;;;;;;;;;;s6kue;;;;;;;;
838;sembler;;;;;;;;;;;;;;;sâblE;sâblE;;;;;;;sâbl;sâblâ;;;;;;sâbl6rE;;sâbl;sâble;;sâbl;sâbl;;;;;;;;;;sâbl
839;sentir;sâti;;;sâti;;;;;;;;sâtE;;sâtE;sâtE;sâtE;sâtir;;;;;;sâ;;;;;;;;;sâ;sâte;sâ;;sâ;;sâti;sâti;sâti;;;;;;
840;serrer;;;;;;;;;;;;;;;;sErE;;;;;;;;;;;;;;;;sEr;;;sEr;;;sEre;sEre;;;;;;;
841;servir;;;;;;;;;;;;;;;;;sErvir;;;;;sErve;sEr;;;;;;;;;sEr;sErve;;;;;;;sErvi;;;;;;
842;siffler;;;;;;;;;;;;;;;;;sifle;;;;;;;;;;;;;;;sifl;;;;;;;;;;;;;;
843;signaler;;;;;;;;;;;;;;;;;;;;;;;siJal;;;;;;;;;;;;;;;;;;;;;;;
844;signer;;;;;;siJ6rE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;siJ;;siJe;;siJe;;;;;;
845;signifier;;;;;;;;;;;;;;;siJifjE;siJifjE;;;;;;;;;;;;;;;;siJifi;;;;;;;;;;;;;;
846;siéger;;;;;;;;;;;;;;;;;;;;;;;;sjEZâ;;;;;;;;;;;;;;;;;;;;;;
847;sommeiller;;;;;;;;;;;;;;;;sOmEjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848;sonder;;;;sôda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849;songer;;;;;;;;;;;;;;;;;;;;;;;;sôZâ;;;;;;;;sôZ;;;;;;;;;;;;;;sôZ
850;sonner;;;;;;;;;;;;;;;;;sOne;;;;;;;;;;;;;;;;;;;sOn;;;;sOne;;;;;;
851;sortir;sOrti;;;sOrti;;sOrtirE;;;;;;;;sOrtE;;sOrtE;sOrtir;;;;;;sOr;;;;;;;;;sOr;;sOr;sOrt;;;sOrti;sOrti;;;sOrt;;;;
852;soucier;;;;;;;;;;;;;;;;susjE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
853;souffler;;;;sufla;;;;;;;;suflE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854;souffrir;;;;;;;;;;;;;;;;sufrE;sufrir;;;;;;;;;;;sufrirE;;;;;;;;;;;;;;;;;;
855;souhaiter;;;;;;;;;;;;;;;;;;;;;;;;suEtâ;;;;;;;;;;;;suEt;;;;;;suEt;;;;
856;soulever;;;;;;;;;;;;;;;;;sul6ve;;;;sul6vô;;;;;;;;;;;sulEv;;;;sulEv;;;;sul6ve;;;;;;
857;souligner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;suliJ6rE;;;;;;;;;;;;;;;;
858;soupirer;;;;supira;;;;;;;;;;;;;;;;;;;;;;;;;;;;supir;;;;;;;;;;;;;;
859;sourire;;;;suri;;;;;;;;;;;;surjE;;;;;;;suri;;;;;;;;;suri;;;;suri;;;;;;;;;;suri
860;souvenir;;;;;;;;;;;;;;;;;;;;;;suv6ne;suvjê;suv6nâ;;;;;;;;suvjê;suv6ne;suvjê;;;;;;;;;;suvjEn;;
861;subir;;;;;;;;;;;;;;;;;sybir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
862;sucer;;;;;;;;;;;;;;;;;syse;;;;;;;;;;;;;;;;;;;sys;;;;;;;;sys;;
863;suffire;;;;syfi;;;;;;syfira;;;;;;;;;;;;;;;;;;;;;;;;;;syfi;;;;;;;;;;
864;suggérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syZEr;;;;
865;suivre;;;;sHivi;;;;;;;;;;;;;sHivr;;;;;sHive;sHi;;;;;;;;;sHi;;;;sHi;;;;;;;;;;
866;supplier;;;;;;;;;;;;;;;;;;;;;;;sypli;;;;;;;;;;;;;;;;;;;;;;;
867;supporter;;;;;;;;;;sypOrt6ra;;;;;;;sypOrte;;;;;;;;;;;;;;;sypOrt;;;;;;;;;;;;;;
868;supposer;;;;;;;;;;;;;;;;;;;;;;;sypoz;sypOzâ;;;;;;;;sypoz;;;;sypoz;;;;;;;;;;
869;surgir;;;;syrZi;;;;;;;;;;;;;syrZir;;;;;;;syrZisâ;;;;;;;;;;;;;;;;syrZi;;;;;;
870;surpasser;;;;;;;;;;syrpas6ra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871;surplomber;;;;;;;;;;;;;;;;syrplôbE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
872;surprendre;syrpri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrprâdrE;;;;;;;;syrpriz;;;;;;;;
873;sursauter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrsot;;;;;;;;;;
874;surveiller;;;;;;;;;;;;;;;;;syrvEje;;;;;;syrvEj;;;;;;;;;;;;;syrvEj;;;;;;;;;;syrvEj
875;survenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrvjê;;;;;;;;;;
876;survivre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syrvi;;;;;;;;;;;;;;
877;susciter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sysit;;;;;;;;;;
878;suspendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;syspâ;;;;;;;;;;
