;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
599;chiper;;;;;;;;;;;;;;;;;;;Sipe;;;;;;;;;;;;;;;;;;Sip;;;;;;;;;;;
600;chipoter;;;;;;SipOta;;;;;;;;;;;;;;;;;;;;SipOtô;;;SipOtâ;;;;;;;;SipOt;;;SipOt;;;;;;;;
601;chiquer;;;;;;;;Sik6rE;;;;;;;;;;;Sike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
602;chlinguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slêg;;;;;;;;;;;
603;choir;;;;;;Sy;;;;;;;;;;;;;Swar;;;;;;;;;;;;;;;;;;;;;;Swa;;;;;;;
604;choisir;;Swazi;;;Swazir;Swazi;Swazirô;SwazirE;Swazire;Swazira;Swazirô;Swazira;Swazisjô;;Swazisje;;SwazisE;SwazisE;Swazir;;;;;;Swazi;Swazisô;Swazise;Swazi;Swazisâ;;SwazirE;;SwazirE;SwazirE;SwazirE;Swazisô;Swazi;Swazise;Swazi;Swazis;Swazi;;;Swazis;;Swazis;;Swazis
605;choper;;;;;;;;;;;;SOp6ra;;;;SOpE;;;SOpe;;;;;;;;SOpe;SOp;;;;;;;;;SOp;SOpe;SOp;;SOp;;;;;SOp;;SOp
606;chopper;;;;;;;;;;;;;;;;;;;SOpe;;;;;;;;;SOp;;;;;;;;;;;;;;;;;;;;
607;choquer;;;;;;SOka;;;;;;;;;;;;SOkE;SOke;;;;;;;;;SOk;;;;;;;;;SOk;;;;SOk;;;;;;;
608;choyer;;;;;;;;;;;;;;;;;;SwajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
609;chromer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krom;;;;;;;
610;chroniquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krOnik;;;;;;;
611;chronométrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;krOnOmEtr;;;;;;;;;krOnOmEtr;;krOnOmEtr;;krOnOmEtr;;;;;;;
612;chuchoter;;SySOtE;;;SySOtEr;SySOta;;;;;;;;;;;SySOtE;SySOtE;SySOte;;;;;;;;;SySOt;SySOtâ;;;;;;;;SySOt;SySOte;;SySOt;SySOt;;;;;;;
613;chuinter;;;;;;;;;;;;;;;;;;SHêtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;chuter;;;;;;;;;;;;;;;;;;SytE;Syte;;;;;;;;;Syt;Sytâ;;;;;;;;Syt;;;Syt;Syt;;;;;;;
615;châtier;;;;;;;;SatirE;;;;;;;;;;;Satje;;;;;;;;;;;;;;;;;;Sati;;;;Sati;;;;;;;
616;châtrer;;;;;;;;;;;Satr6rô;;;;;;;;Satre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
617;chérir;;;;;;SEri;;;;;;;;;;;SErisE;SErisE;SErir;;;;;;;;SErise;;;;;;;;;SErisô;SEri;;SEri;;;;;;;;;
618;chômer;;;;;;;;;SOm6re;;;;;;;;;SOmE;SOme;;;;;;;;;Som;;;;;;;;;;;;;Som;;;;;;;
619;cibler;;;;;;;;;;;;;;;;;;siblE;sible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;cicatriser;;;;;;sikatriza;;;;;sikatriz6rô;;;;;;;;;;;;;;;;;;;;;;;;;;sikatriz;;;;sikatriz;;;;;;;
621;ciller;;;;;;sija;;;;;;;;;;;sijE;;sije;;;;;;;;;;sijâ;;;;;;;;;;;;;;;;;;;
622;cimenter;;;;;;;;;;;;;;;;;;simâtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623;cingler;;;;;sêglEr;sêgla;;;;;;;;;;;;sêglE;;;;;;;;;;;;;;;;;;;;;;;sêgl;;;;;;;
624;cintrer;;;;;;sêtra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;circoncire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sirkôsi;;;;;;;;;;;
626;circonscrire;;;;;;sirkôskrivi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;circuler;;;;;;sirkyla;;;;;;;;;;;sirkylE;sirkylE;sirkyle;;;;;;;;sirkyle;sirkyl;;;;;;;sirkyl6rE;;sirkyl;sirkyle;;sirkyl;sirkyl;;;;;;;
628;cirer;;;;;;sira;;;;;;;;;;sirE;;;sire;;;;;;;;;sir;;;;;;;;;sir;;;;sir;;;;;;;
629;cisailler;;;;;;;;;;;;;;;;;sizajE;;;;;;;;;;;;;;;;;;;;sizaj;;;;;;;;;;;
630;ciseler;;;;;;;;;;;;;;;;;;;siz6le;;;;;;;;;;;;;;;;;;;;;;sizEl;;;;;;;
631;citer;;;;;;sita;;;;;;;;;;;;sitE;site;;;;;;;;site;sit;sitâ;;;;sit6rE;;;;sit;site;sit;;sit;;;;;sit;;
632;civiliser;;;;;;;;;;;;;;;;;;;sivilize;;;;;;;;;;;;;;;;;;;;siviliz;;;;;;;;;
633;claironner;;;;;;klErOna;;;;;;;;;;;;;;;;;;;;;;;klErOnâ;;;;;;;;klErOn;;;;;;;;;;;
634;clamer;;;;;;klama;;;;;;;;;;;;;klame;;;;;;;;;klam;klamâ;;;;;;;;klam;klame;;;klam;;;;;;;
635;clamser;;;;;;;;;;;;;;;;;;;klamse;;;;;;;;;;;;;;;;;;;;;;klams;;;;;;;
636;claper;;;;;;;;;;;;;;;;;;;;;;;;;;;;klap;;;;;;;;;klap;;klap;;klap;;;;;;;
637;clapoter;;;;;;;;;;;;;;;;;;klapOtE;klapOte;;;;;;;;;;klapOtâ;;;;;;;;;;;;klapOt;;;;;;;
638;claquemurer;;;;;;;;;;;;;;;;;;;klak6myre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
639;claquer;;;;;klakEr;klaka;;klak6rE;;;;klak6ra;;;;klakE;klakE;klakE;klake;;;;;;;;;klak;klakâ;;;;;;klak6rE;;klak;klake;klak;klak;klak;;;;;;;
640;clarifier;;;;;;;;;;;;;;;;;;;klarifje;;;;;;;;;;;;;;;;;;;;;;klarifi;;;;;;;
641;classer;;;;;;;;;;;;;;klasE;;;;klasE;klase;;;;;;;;;klas;;;klas6rE;;;;;;klas;klase;;;klas;;;;;;;
642;classifier;;;;;;;;;;;;;;;;;;;klasifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
643;claudiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klOdik6rE;;;;;;;;;;;;;
644;clicher;;;;;;;;;;;;;;;;;;;kliSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;cligner;;;;;kliJEr;kliJa;;;;;;;;kliJE;;;;kliJE;kliJe;;;;;;;;;kliJ;kliJâ;;;;;;;;kliJ;kliJe;;kliJ;kliJ;;;;;;;
646;clignoter;;;;;;;;;;;;;;;;;kliJOtE;kliJOtE;;;;;;;;;;kliJOt;;;;;;;;;;;;kliJOt;kliJOt;;;;;;;
647;cliqueter;;;;;;;;;;;;;;;;;klik6tE;;klik6te;;;;;;;;;;klik6tâ;;;;;;;;;;;klikEt;;;;;;;;
648;clocher;;;;;;;;;;;;;;;;;;klOSE;klOSe;;;;;;;;;klOS;;;;;;;;;;;;;klOS;;;;;;;
649;clopiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klOpinâ;;;;;;;;;;;;;;;;;;;
650;cloquer;;;;;;;;;;;;;;;;;;klOkE;klOke;;;;;;;;;;;;;;;;;;;;;;klOk;;;;;;;
651;clore;;;;;;;;;;;;;;;;;;;klOr;;;;;;;;;klo;;;;;;;;;klo;;;kloz;klo;;;kloz;;;;kloz
652;clouer;;;;;;klua;;klurE;;;;;;;;;kluE;kluE;klue;;;;;;;kluô;klue;klu;kluâ;;;;;;;;klu;;;klu;klu;;;;;;;
653;cloîtrer;;;;;;;;;;;;;;;;;;klwatrE;;;;;;;;;;;;;;;;;;;;;;;klwatr;;;;;;;
654;clôturer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;klOtyr;;;;;;;
655;coaguler;;;;;;;;;;;;;;;;;;kOagylE;;;;;;;;;;;;;;;;;;;;;;;kOagyl;;;;;;;
656;coaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOaliz;;;;;;;;
657;coasser;;;;;;;;;;;;;;;;;kOasE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
658;cocher;;;;;;;;;;;;;;;;;;kOSE;kOSe;;;;;;;;;kOS;;;;;;;;;kOS;;;;kOS;;;;;;;
659;cochonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOSOne;;;;;;;;;;
660;cocufier;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOkyfi;;;;;;;;;;;;;;;;;;;;
661;coder;;;;;;;;;;;;;;;;;;;kOde;;;;;;;;;kOd;;;;;;;;;kOd;;;;kOd;;;;;kOd;;
662;codifier;;;;;kOdifjEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;coffrer;;;;;;;;;;;;;;;;;;;kOfre;;;;;;;;kOfre;kOfr;;;;;;;;;kOfr;kOfre;;;kOfr;;;;;;;
664;cogiter;;;;;;;;;;;;;;;;;;;kOZite;;;;;;;;;kOZit;;;;;;;;;kOZit;;;;;;;;;;;
665;cogner;;;;;;kOJa;;;;;;;;kOJE;;;kOJE;kOJE;kOJe;;;;;;;kOJô;;kOJ;kOJâ;;;;;;;;kOJ;;;kOJ;kOJ;;;;;;;kOJ
666;coiffer;;kwafE;;;;;;;;;;;;kwafE;;;kwafE;kwafE;kwafe;;;;;;;;kwafe;kwaf;kwafâ;;;;kwaf6rE;;;;kwaf;kwafe;;;kwaf;;;;;;;
667;coincer;;;;;;kwêsa;;kwês6rE;;;;kwês6ra;;;;;kwêsE;kwêsE;kwêse;;;;;;;;;kwês;kwêsâ;;;;;;kwês6rE;;kwês;;;kwês;kwês;;;;;;;kwês
668;collaborer;;;;;;;kOlabOr6rô;;;;;;;;;kOlabOrE;;kOlabOrE;kOlabOre;;;;;;;kOlabOrô;;kOlabOr;;;;;;kOlabOr6rE;;;kOlabOr;kOlabOre;;;kOlabOr;;;;;;;
669;collecter;;;;;;;;;;;;;;;;;;;kOlEkte;;;;;;;;;;;;;;;;;;;;;;kOlEkt;;;;;;;
670;collectionner;;;;;;;;;;;;;;;;kOlEksjOnE;;kOlEksjOnE;kOlEksjOne;;;;;;;;;kOlEksjOn;;;;;;;;;kOlEksjOn;;kOlEksjOn;;kOlEksjOn;;;;;;;
671;coller;;kOlE;;;;kOla;;kOl6rE;;;;kOl6ra;kOljô;;;;kOlE;kOlE;kOle;;;;;;;kOlô;kOle;kOl;kOlâ;;;;kOl6rE;;kOl6rE;;kOl;kOle;kOl;kOl;kOl;;;;;kOl;;kOl
672;colleter;;;;;;;;;;;;;;;;;;;kOl6te;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
673;colmater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOlmat;;;;;;;
674;colorer;;kOlOrE;;;kOlOrEr;kOlOra;;;;;;;;;;;kOlOrE;kOlOrE;kOlOre;;;;;;;;;kOlOr;;;;;;;;;;;;;;;;;;;;
675;colorier;;;;;;;;;;;;;;;;;;;kOlOrje;;;;;;;;;;;;;;;;;;;;;kOlOri;;;;;;;;
676;colporter;;;;;;;;;;;;;;;;;;kOlpOrtE;;;;;;;;;;kOlpOrt;;;;;;;;;;;;;kOlpOrt;;;;;;;
677;coltiner;;;;;;;;;;;;;;kOltinE;;;;;kOltine;;;;;;;;;kOltin;;;;;;;;;kOltin;;;kOltin;;;;;;;;
678;combattre;;;;;;kôbati;kôbatrô;;;kôbatra;;;;;;;kôbatE;kôbatE;kôbatr;;;;;;;kôbatô;kôbate;kôba;kôbatâ;;;;;;kôbatrE;kôbatô;kôba;kôbate;kôba;kôbat;kôba;;;;;;;kôbat
679;combiner;;;;;;;;;;;;;;;;;;kôbinE;kôbine;;;;;;;;;kôbin;kôbinâ;;;;;;;;kôbin;;;;kôbin;;;;;;;
680;combler;;;;;;kôbla;;;;;;;;;;;;kôblE;kôble;;;;;;kôbla;;kôble;kôbl;;;;;;;kôbl6rE;;kôbl;kôble;;;kôbl;;;;;;;
681;commander;;kOmâdE;;;kOmâdEr;kOmâda;;kOmâd6rE;;;;;;kOmâdE;;kOmâdE;kOmâdE;kOmâdE;kOmâde;;;;;;;kOmâdô;kOmâde;kOmâd;kOmâdâ;;;;;;;;kOmâd;kOmâde;kOmâd;kOmâd;kOmâd;;;;;;;kOmâd
682;commencer;kOmâsam;kOmâsE;;kOmâsa;kOmâsEr;kOmâsa;kOmâs6rô;kOmâs6rE;kOmâs6re;;kOmâs6rô;kOmâs6ra;kOmâsjô;kOmâsE;kOmâsje;kOmâsE;kOmâsE;kOmâsE;kOmâse;;;;;;;kOmâsô;kOmâse;kOmâs;kOmâsâ;;kOmâs6rE;;kOmâs6rE;;kOmâs6rE;kOmâsô;kOmâs;kOmâse;kOmâs;kOmâs;kOmâs;;;;;kOmâs;;kOmâs
683;commenter;;kOmâtE;;;;kOmâta;;;;;;;kOmâtjô;;;;kOmâtE;kOmâtE;kOmâte;;;;;;;;kOmâte;kOmât;kOmâtâ;;;;;;;;kOmât;kOmâte;;kOmât;kOmât;;;;;;;
684;commercer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOmErsâ;;;;;;;;;;;;;;;;;;;
685;commettre;;kOmi;;;;kOmi;;kOmEtrE;;kOmEtra;;;;;;;;kOmEtE;kOmEtr;;;;;;kOmi;;;kOmE;;;;;;;;kOmEtô;;;kOmE;kOmEt;kOmE;;;;;;;
686;commuer;;;;;;;;;;;;;;kOmyE;;;;;;;;;;;;;;;kOmyâ;;;;;;;;;;;;;;;;;;;
687;communier;;;;;;;;;;;kOmynirô;;;kOmynjE;;;kOmynjE;;kOmynje;;;;;;;;;kOmyni;;;;;;;;;kOmyni;;;;kOmyni;;;;;;;
688;communiquer;;;;;;kOmynika;kOmynik6rô;kOmynik6rE;;;;;;;;kOmynikE;kOmynikE;kOmynikE;kOmynike;;;;;;kOmynika;;kOmynike;kOmynik;kOmynikâ;;;;;kOmynik6rE;;;kOmynik;kOmynike;;kOmynik;kOmynik;;;;;;;
689;commémorer;;;;;;;;;;;;;;;;;;;kOmEmOre;;;;;;;;;;;;;;;;;;;;;kOmEmOr;;;;;;;;
690;comparaître;;;;;;;;;;;;;;;;;kôparEsE;;kôparEtr;;;;;;;;;;kôparEsâ;;;;;;;;;;;;kôparE;;;;;;;
691;comparer;;;;;;kôpara;;kôpar6rE;;;;;;kôparE;;;kôparE;kôparE;kôpare;;;;;;;;kôpare;kôpar;kôparâ;;;;;;;kôparô;kôpar;kôpare;kôpar;;kôpar;;;;;;;kôpar
692;compatir;;;;;;;;;;;;;;kôpatisE;;kôpatisE;;;kôpatir;;;;;;;kôpatisô;;kôpati;;;;;;;;;kôpati;;kôpati;kôpatis;kôpati;;;;;;;
693;compenser;;;;;;;;;;;;;;;;;kôpâsE;kôpâsE;kôpâse;;;;;;;;;kôpâs;kôpâsâ;;;;;;kôpâs6rE;;kôpâs;kôpâse;;kôpâs;kôpâs;;;;;;;
694;compiler;;;;;;;;;;;;;;;;;;;kôpile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
695;compisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôpis;;;;;;;;;;;
696;complaire;;;;;;;;;;;;;;kôplEzE;;;;kôplEzE;kôplEr;;;;;;;;;kôplE;kôplEzâ;;;;;;;;kôplE;;;kôplEz;;;;;;;;
697;complexer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôplEks;;;;;;;
698;complimenter;;;;;;;;;;;;;;;;;kôplimâtE;kôplimâtE;kôplimâte;;;;;;;;;kôplimât;;;;;;;;;;;;;kôplimât;;;;;;;
699;compliquer;;;;;;;;kôplik6rE;;;;;;kôplikE;;;kôplikE;kôplikE;kôplike;;;;;;;;kôplike;kôplik;;;;;;;;kôplikô;kôplik;kôplike;kôplik;kôplik;kôplik;;;;;;;
700;comploter;;;;;;;;;;;;;;;kôplOtje;;kôplOtE;kôplOtE;kôplOte;;;;;;;;;;kôplOtâ;;;;;;;;kôplOt;;;kôplOt;;;;;;;;
701;compléter;;;;;kôplEtEr;kôplEta;;;;;;kôplEt6ra;;;;;kôplEtE;kôplEtE;kôplEte;;;;;;;kôplEtô;;kôplEt;;;;;;;;;kôplEt;kôplEte;;kôplEt;kôplEt;;;;;;;kôplEt
702;comporter;;;;;;;;;;;;kôpOrt6ra;;;;;kôpOrtE;kôpOrtE;kôpOrte;;;;;;kôpOrta;;kôpOrte;kôpOrt;kôpOrtâ;;;;;;kôpOrt6rE;;kôpOrt;kôpOrte;kôpOrt;kôpOrt;kôpOrt;;;;;kôpOrt;;
703;composer;;;;;;kôpOza;;;;;;;kôpOzjô;;kôpOzje;kôpOzE;kôpOzE;kôpOzE;kôpOze;;;;;;;;kôpOze;kôpoz;kôpOzâ;;;;;;kôpOz6rE;;kôpoz;kôpOze;;kôpoz;kôpoz;;;;;;;
704;comprendre;;kôpri;;kôpri;kôprir;kôpri;kôprâdrô;kôprâdrE;kôprâdre;kôprâdra;kôprâdrô;kôprâdra;kôpr6njô;kôpr6nE;kôpr6nje;kôpr6nE;kôpr6nE;kôpr6nE;kôprâdr;;;;;;kôpri;kôpr6nô;kôpr6ne;kôprâ;kôpr6nâ;;kôprâdrE;kôprâdrie;kôprâdrE;kôprâdrE;kôprâdrE;kôpr6nô;kôprâ;kôpr6ne;kôprâ;kôprEn;kôprâ;;;kôprEn;;kôprEn;kôprEn;kôprEn
705;compresser;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôprEs;;;;;;;;;;;;;;;;;;;;
706;comprimer;;;;;;;;;;;;;;;;;;kôprimE;kôprime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;compromettre;;;;kôprOmi;;kôprOmi;;;;;;;;;;;;kôprOmEtE;kôprOmEtr;;;;;;;;;;;;;;;;kôprOmEtrE;;kôprOmE;;kôprOmE;;kôprOmE;;;;;;;kôprOmEt
708;comptabiliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtabiliz;;;;;;;;;;;
709;compter;;;;;kôtEr;kôta;;;;;kôt6rô;kôt6ra;kôtjô;kôtE;kôtje;kôtE;kôtE;kôtE;kôte;;;;;;kôta;kôtô;kôte;kôt;kôtâ;;kôt6rE;;kôt6rE;;kôt6rE;kôtô;kôt;kôte;kôt;kôt;kôt;;;;kôtje;kôt;;
710;compulser;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôpyls;kôpylsâ;;;;;;;;;;;;;;;;;;;
711;concentrer;;kôsâtrE;;;;kôsâtra;;;;;;;;kôsâtrE;;;kôsâtrE;kôsâtrE;kôsâtre;;;;;;;kôsâtrô;kôsâtre;kôsâtr;kôsâtrâ;;;;;;;;kôsâtr;kôsâtre;kôsâtr;kôsâtr;kôsâtr;;;;;kôsâtr;;
712;concerner;;;;;kôsErnEr;;;;;;;;;;;;kôsErnE;kôsErnE;;;;;;;;;;kôsErn;kôsErnâ;;;;;;kôsErn6rE;;kôsErn;;;kôsErn;kôsErn;;;;;;;
713;concerter;;;;;;;;;;;;;;;;;;;kôsErte;;;;;;;kôsErtô;;;;;;;;;;;;;;;kôsErt;;;;;;;
714;concevoir;;kôsy;;kôsy;;kôsy;;;;;;;;kôs6vE;;;;kôs6vE;kôs6vwar;;;;;;;;kôs6ve;kôswa;;;;;;;;;kôswa;;kôswa;;kôswa;;;;;;;
715;concilier;;;;;;;;;;;;;;;;;;kôsiljE;kôsilje;;;;;;;;;;kôsiljâ;;;;;;;;;;kôsili;;;;;;;;;
716;conclure;;;;;;kôkly;kôklyrô;;;;;kôklyra;;kôklyE;;;;kôklyE;kôklyr;;;;;;;kôklyô;kôklye;kôkly;;;;;;;;;kôkly;kôklye;kôkly;;kôkly;;;kôkly;;;;kôkly
717;concorder;;;;;;;;;;;;;;;;;;kôkOrdE;;;;;;;;;;kôkOrd;;;;;;;;;;;;kôkOrd;kôkOrd;;;;;;;
718;concourir;;;;;;;;;;;;;;;;;;;kôkurir;;;;;;;;;;;;;;;;;;;;;;kôkur;;;;;;;
719;concrétiser;;;;;;;;;;;;;;;;;;;kôkrEtize;;;;;;;;;;kôkrEtizâ;;;;;;;;;;;kôkrEtiz;kôkrEtiz;;;;;;;
720;concurrencer;;;;;;;;;;;;;;;;;;kôkyrâsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
721;concéder;;;;;;;;;;;;;;kôsEdE;;;kôsEdE;kôsEdE;kôsEde;;;;;;;;;kôsEd;;;;;;;;;kôsEd;;;;kôsEd;;;;;;;
722;concélébrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôsElEbr;;;;;;;;
723;condamner;;;;;kôdanEr;kôdana;;;;;kôdan6rô;kôdan6ra;;kôdanE;;kôdanE;kôdanE;kôdanE;kôdane;;;;;;;kôdanô;;kôdan;kôdanâ;;;;;;;kôdanô;kôdan;kôdane;;kôdan;kôdan;;;;;;kôdan;
724;condenser;;;;;;;;;;;;;;;;;;kôdâsE;;;;;;;;;;kôdâs;kôdâsâ;;;;;;;;;;;;kôdâs;;;;;;;
725;condescendre;;;;;;;;;;;;;;;;;;;kôdEsâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726;conditionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôdisjOn;kôdisjOn;;;;;;;
727;conduire;;kôdHizi;;;kôdHizir;kôdHizi;;kôdHirE;kôdHire;kôdHira;kôdHirô;kôdHira;;kôdHizE;;kôdHizE;kôdHizE;kôdHizE;kôdHir;;;;;;kôdHizi;kôdHizô;kôdHize;kôdHi;kôdHizâ;;kôdHirE;;kôdHirE;;kôdHirE;;kôdHi;kôdHize;kôdHi;kôdHiz;kôdHi;;;kôdHiz;;kôdHiz;;kôdHiz
728;confectionner;;;;;;kôfEksjOna;;;;;;;kôfEksjOnjô;;;;;kôfEksjOnE;kôfEksjOne;;;;;;;;;;;;;;;;;;kôfEksjOn;;;;kôfEksjOn;;;;;;;
729;confesser;;;;;;kôfEsa;;;;;;;;;;kôfEsE;;kôfEsE;kôfEse;;;;;;;;kôfEse;kôfEs;;;;;;;;;kôfEs;;;;kôfEs;;;;;;;
730;confier;;kôfjE;;;kôfjEr;kôfja;;kôfirE;;;;kôfira;;kôfjE;;kôfjE;kôfjE;kôfjE;kôfje;;;;;;;;kôfje;kôfi;kôfjâ;;kôfirE;;;;kôfirE;kôfjô;kôfi;kôfje;;kôfi;kôfi;;;;;;;
731;confiner;;;;;;;;;;;;;;;;;kôfinE;kôfinE;kôfine;;;;;;;;;;;;;;;;;;;;;kôfin;;;;;;;;
732;confire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôfi;;;;;;;
733;confirmer;kôfirmam;;;;kôfirmEr;kôfirma;;;;;kôfirm6rô;kôfirm6ra;;;;;kôfirmE;kôfirmE;kôfirme;;;;;;;kôfirmô;kôfirme;kôfirm;;;;;;kôfirm6rE;;kôfirmô;kôfirm;kôfirme;kôfirm;kôfirm;kôfirm;;;;;;;
734;confisquer;;;;;;;;;;;;;;;;;;kôfiskE;kôfiske;;;;;;;;kôfiske;;;;;;;;;;kôfisk;;;;kôfisk;;;;;;;
735;confondre;;;;;kôfôdir;kôfôdi;;;;;;;;kôfôdE;;;kôfôdE;kôfôdE;kôfôdr;;;;;;;kôfôdô;kôfôde;kôfô;kôfôdâ;;;;;;;;kôfô;kôfôde;kôfô;kôfôd;kôfô;;;kôfôd;;;;kôfôd
736;conformer;;;;;;;;kôfOrm6rE;;;;;;;;;;kôfOrmE;kôfOrme;;;;;;;;;;kôfOrmâ;;;;;;;;kôfOrm;;;;;;;;;;;kôfOrm
737;conforter;;;;;;;;;;;;;;;;;kôfOrtE;;kôfOrte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
738;confronter;;;;;;;;;;;;;;kôfrôtE;;;;;kôfrôte;;;;;;;;;kôfrôt;;;;;;;;;;;;kôfrôt;kôfrôt;;;;;;;
739;conférer;;;;;;;;;;;;;;;;;;kôfErE;kôfEre;;;;;;;;;;kôfErâ;;;;;;;;kôfEr;;;kôfEr;kôfEr;;;;;;;
740;congeler;;;;;;;;;;;;kôZEl6ra;;;;;;;kôZ6le;;;;;;;;;;;;;;;;;;;;;;kôZEl;;;;;;;
741;congestionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôZEsjOn;;;;;;;;
742;congratuler;;;;;;;;;;;;;;;;;kôgratylE;;kôgratyle;;;;;;;;;;;;;;;;;;;;;kôgratyl;kôgratyl;;;;;;;
743;congédier;;;;;;kôZEdja;;;;;;;;;;;;;kôZEdje;;;;;;;;;kôZEdi;;;;;;;;;;;;;kôZEdi;;;;;;;
744;conjuguer;;;;;;;;;;;;;;;;;;;kôZyge;;;;;;;;;kôZyg;;;;;;;;;;;;;;;;;;;;
745;conjurer;;;;;;kôZyra;;;;;;;;;;;;kôZyrE;kôZyre;;;;;;;;;kôZyr;kôZyrâ;;;;;;;;kôZyr;;;;kôZyr;;;;;;;
746;connaître;kOnym;kOny;;kOny;kOnyr;kOny;kOnEtrô;kOnEtrE;kOnEtre;kOnEtra;kOnEtrô;kOnEtra;kOnEsjô;kOnEsE;kOnEsje;kOnEsE;kOnEsE;kOnEsE;kOnEtr;;;;;kOnys;kOny;kOnEsô;kOnEse;kOnE;kOnEsâ;;kOnEtrE;kOnEtrie;kOnEtrE;kOnEtrE;kOnEtrE;kOnEsô;kOnE;kOnEse;kOnE;kOnEs;kOnE;;;kOnEs;kOnEsje;kOnEs;;kOnEs
747;connecter;;;;;;;;;;;;;;;;;;;kOnEkte;;;;;;;;;;;;;;;;;;kOnEkt;;;kOnEkt;;;;;;;;
748;conquérir;;;;;;kôki;;;;;;;;;;;;;kôkErir;;;;;;;;;;kôkErâ;;;;;;;;kôkjEr;;;;kôkjEr;;;kôkjEr;;;;kôkjEr
749;consacrer;;;;;kôsakrEr;kôsakra;;;;kôsakr6ra;;;;;;kôsakrE;;kôsakrE;kôsakre;;;;;;;kôsakrô;kôsakre;kôsakr;kôsakrâ;;;;;;;;kôsakr;kôsakre;;;kôsakr;;;kôsakr;;;;
750;conseiller;;;;;;kôsEja;;;;;;kôsEj6ra;;kôsEjE;;;;kôsEjE;kôsEje;;;;;;;kôsEjô;kôsEje;kôsEj;;;kôsEj6rE;;;;;kôsEjô;kôsEj;kôsEje;kôsEj;kôsEj;kôsEj;;;;;;;kôsEj
751;consentir;;kôsâti;;;;kôsâti;;kôsâtirE;kôsâtire;;;;kôsâtjô;kôsâtE;;;;kôsâtE;kôsâtir;;;;;;kôsâti;;kôsâte;kôsâ;kôsâtâ;;kôsâtirE;;kôsâtirE;kôsâtirE;kôsâtirE;;kôsâ;kôsâte;kôsâ;kôsât;kôsâ;;;kôsât;;kôsât;;kôsât
