;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
904;côtoyer;;;;;;;;;;;;;;;;;kOtwajE;kOtwajE;kOtwaje;;;;;;;;;;;;;;;;;kOtwa;;;kOtwa;kOtwa;;;;;;;;;;
905;dactylographier;;;;;;;;;;;;;;;;;;;daktilOgrafje;;;;;;;;;;;;;;;;;;;;;;;daktilOgrafje;;;;;;;;
906;daigner;;;;;;;;;;;;;;;;;;;;;;;;;;dEJe;dEJ;;;;;;;;;dEJ;dEJe;;;dEJ;;;;;;;;;;
907;daller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dal;dale;;;dale;;;;;;
908;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;dam;;dam;;dam;dame;;;;;;;dam;;
909;damner;;;;;;;;;;;;dan6ra;;;;;;;dane;;;;;;;;;danâ;;dan6rE;;;;;;;;;;dan;;;;dane;;;;;;
910;dandiner;;;;;;;;;;;;;;;;;;dâdinE;dâdine;;;;;;;;dâdin;dâdinâ;;;;;;;;;;;;;;;;;;;;;;
911;danser;;;;;dâsEr;dâsa;;dâs6rE;;;dâs6rô;dâs6ra;dâsjô;dâsE;;dâsE;dâsE;dâsE;dâse;;;;;;dâsô;dâse;dâs;dâsâ;;;;;;;dâsô;dâs;dâse;dâs;dâs;dâs;;;;dâse;;;;dâs;;dâs
912;darder;;;;;;darda;;;;;;;;;;;;;;;;;;;;;;dardâ;;;;;;;;dard;;;;dard;;;;;;;;;;
913;dater;;;;;;data;;;;;;;;;;;;datE;date;;;;;;;;dat;datâ;;;;;;;;dat;;;dat;dat;date;date;;date;;;;;;
914;demander;;d6mâdE;;;d6mâdEr;d6mâda;;d6mâd6rE;d6mâd6re;d6mâd6ra;d6mâd6rô;d6mâd6ra;d6mâdjô;d6mâdE;d6mâdje;d6mâdE;d6mâdE;d6mâdE;d6mâde;;;;;d6mâda;d6mâdô;d6mâde;d6mâd;d6mâdâ;;d6mâd6rE;d6mâd6rje;d6mâd6rE;d6mâd6rE;d6mâd6rE;d6mâdô;d6mâd;d6mâde;d6mâd;d6mâd;d6mâd;d6mâde;d6mâde;d6mâde;d6mâde;;d6mâd;;d6mâd;d6mâd;d6mâd
915;demeurer;d6m6ram;d6m6rE;;;d6m6rEr;d6m6ra;;;;;;;;d6m6rE;;;d6m6rE;d6m6rE;d6m6re;;;;;;;d6m6re;d6m9r;d6m6râ;;;;;d6m6r6rE;;d6m6rô;d6m9r;;;d6m9r;d6m9r;d6m6re;d6m6re;d6m6re;d6m6re;;;;;;
916;descendre;dEsâdim;dEsâdi;;;dEsâdir;dEsâdi;;dEsâdrE;;;;dEsâdra;dEsâdjô;dEsâdE;dEsâdje;dEsâdE;dEsâdE;dEsâdE;dEsâdr;;;;;;dEsâdô;dEsâde;dEsâ;dEsâdâ;;dEsâdrE;;;dEsâdrE;dEsâdrE;dEsâdô;dEsâ;dEsâde;dEsâ;dEsâd;dEsâ;dEsâdy;dEsâdy;dEsâdy;dEsâdy;;dEsâd;;dEsâd;dEsâd;dEsâd
917;dessaisir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsEzi;;;;dEsEzi;;;;;;
918;dessaler;;;;;;;;;;;;;;;;;;dEsalE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
919;dessaouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsul;;;dEsul;;;;;;;;;;;
920;desserrer;;;;;;;;;;;;;;;;;;;dEsEre;;;;;dEsEra;;dEsEre;dEsEr;dEsErâ;;;;;dEsEr6rE;;;;dEsEre;;;dEsEr;;;;dEsEre;;;;;;
921;desservir;;;;;;;;;;;;;;;;;dEsErvE;;dEsErvir;;;;;;;;;;;;;;;;;;;;;dEsEr;;;;;;;;;;
922;dessiner;;;;;;dEsina;;;dEsin6re;;dEsin6rô;;;dEsinE;;dEsinE;dEsinE;dEsinE;dEsine;;;;;;;dEsine;dEsin;dEsinâ;;;;;;;;dEsin;;dEsin;dEsin;dEsin;dEsine;dEsine;dEsine;dEsine;;;;;;
923;dessouder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsude;;;;;;
924;dessoûler;;;;;;;;;;;;;;;;;;;dEsule;;;;;;;;;;;;;;;;;dEsul;;;;;;;;;;;;;;
925;dessécher;;;;;;;;;;;;;;dEsESE;;;dEsESE;dEsESE;dEsESe;;;;;;;;dEsES;;;;;;;;;;;;;dEsES;dEsESe;dEsESe;;dEsESe;;dEsES;;;;
926;destiner;;;;;;;;;;;;;;dEstinE;;;;dEstinE;;;;;;;;;;;;;;;;;;dEstin;;;;;dEstine;dEstine;dEstine;dEstine;;;;;;
927;devancer;;;;;d6vâsEr;;;;;;;;;;;;;;d6vâse;;;;;;;;d6vâs;d6vâsâ;;;;;;;;d6vâs;;;;;;;d6vâse;d6vâse;;;;;;
928;devenir;;d6vê;;;d6vêr;d6vê;d6vjêdrô;d6vjêdrE;d6vjêdre;d6vjêdra;d6vjêdrô;d6vjêdra;;d6v6nE;;d6v6nE;d6v6nE;d6v6nE;d6v6nir;;;;;d6vê;d6v6nô;d6v6ne;d6vjê;d6v6nâ;;d6vjêdrE;;d6vjêdrE;d6vjêdrE;d6vjêdrE;d6v6nô;d6vjê;d6v6ne;d6vjê;d6vjEn;d6vjê;d6v6ny;d6v6ny;d6v6ny;d6v6ny;;d6vjEn;;d6vjEn;;d6vjEn
929;deviner;;d6vinE;;;;d6vina;;;d6vin6re;d6vin6ra;;;d6vinjô;d6vinE;;d6vinE;d6vinE;d6vinE;d6vine;;;;;;;d6vine;d6vin;d6vinâ;;;;d6vin6rE;;d6vin6rE;;d6vin;d6vine;d6vin;d6vin;d6vin;;;;d6vine;;;;d6vin;;
930;deviser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d6viz;;;;;;;;;;;
931;devoir;;dy;;;dyr;dy;d6vrô;d6vrE;d6vre;d6vra;d6vrô;d6vra;d6vjô;d6vE;d6vje;d6vE;d6vE;d6vE;d6vwar;;;;dys;dy;d6vô;d6ve;dwa;d6vâ;d6vriô;d6vrE;d6vrie;d6vrE;d6vrE;d6vrE;d6vô;dwa;d6ve;dwa;dwav;dwa;dy;dy;dy;dy;;dwav;d6vje;dwav;dwav;dwav
932;diagnostiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djagnOstike;;;;;;
933;dialoguer;;;;;;;;;;;;djalOg6ra;;;;;;;djalOge;;;;;;;;;;;;;;;;;;;;;;djalOge;;;;;;;;;
934;dicter;;;;;;;;dikt6rE;;;;;;;;;diktE;diktE;dikte;;;;;;;;dikt;diktâ;;;;;;;;dikt;;;;dikt;;;;dikte;;;;;;
935;diffamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;difame;;;;;;
936;diffuser;;;;;difyzEr;;;;;;;;;;;;;difyzE;difyze;;;;;;;difyze;difyz;;;;;;;;;difyz;;;;difyz;;difyze;;difyze;;;;;;difyz
937;différencier;;;;;;;;;;;difErâsirô;;;;;;;difErâsjE;difErâsje;;;;;;;;;;;;;;;;;;;;;difErâsi;;;;;;;;;;
938;différer;;;;;;;;;;;;;;;;;;difErE;difEre;;;;;;;;;difErâ;;;;;;;;difEr;;;difEr;difEr;;;;;;;;;;
939;digérer;;;;;;;;;;;;;;;;;;diZErE;diZEre;;;;;;;;diZEr;;;;;;;;diZErô;diZEr;;;;diZEr;diZEre;;;diZEre;;;;;;
940;dilapider;;;;;;;;;;;;;;;;;;;dilapide;;;;;;;dilapide;;;;;;;;;;;;;;;;;;;;;;;;
941;dilater;;;;;;;;;;;;;;;;;;;dilate;;;;;;;;dilat;;;;;;;;;dilat;;;;;;dilate;;;;;;;;
942;diluer;;;;;;;;;;;;;;;;;;dilyE;dilye;;;;;;;;;;;;;;;;;dily;;;dily;dily;;dilye;dilye;dilye;;;;;;
943;diminuer;;;;;;diminya;;;;;;;;;;;diminyE;diminyE;diminye;;;;;;;diminye;diminy;diminyâ;;;;;;;;diminy;;;diminy;diminy;;;;diminye;;;;;;
944;dinguer;;;;;;;;;;;;;;;;;;;dêge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
945;diplômer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diplOme;diplOme;diplOme;;;;;;
946;dire;dim;di;dit;;dir;di;dirô;dirE;dire;dira;dirô;dira;dizjô;dizE;dizje;dizE;dizE;dizE;dir;;;;;di;dizô;dit;di;dizâ;;dirE;dirje;dirE;dirE;dirE;dizô;di;dit;di;diz;di;dit;dit;di;di;;diz;dizje;diz;diz;diz
947;diriger;diriZam;diriZE;;;diriZEr;diriZa;;;;;;diriZ6ra;diriZjô;diriZE;diriZje;diriZE;diriZE;diriZE;diriZe;;;;;;diriZô;diriZe;diriZ;diriZâ;;;;diriZ6rE;;diriZ6rE;diriZô;diriZ;diriZe;diriZ;diriZ;diriZ;diriZe;diriZe;diriZe;diriZe;;;;;;diriZ
948;discerner;;;;;;;;;;;;;;;;;;disErnE;disErne;;;;;;;;;;;;;;;;;;;;disErn;disErn;;;;;;;;;;
949;discontinuer;;;;;;;;;;;;;;;;;;;diskôtinye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
950;discourir;;;;;;;;;;;;;;;;;;diskurE;;;;;;;;;;diskurâ;;;;;;;;;;;;;;;;;;;;;;
951;discréditer;;;;;;;;;;;;;;;;;;;diskrEdite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
952;disculper;;;;;;;;;;;;;;;;;;diskylpE;diskylpe;;;;;;;;;;;;;;;;;diskylp;;;;diskylp;;;;;;;;;;
953;discuter;diskytam;;;;;diskyta;diskyt6rô;;;;;diskyt6ra;diskytjô;;diskytje;diskytE;diskytE;diskytE;diskyte;;;;;;diskytô;diskyte;diskyt;;;;;;;diskyt6rE;diskytô;diskyt;diskyte;;diskyt;diskyt;;;;diskyte;diskytjô;;;;;diskyt
954;disloquer;;;;;;dislOka;;;;;;;;;;;;dislOkE;;;;;;;;;dislOk;;;;;;;;;;;;;dislOk;;;;;;;;;;
955;disparaître;;dispary;;;disparyr;dispary;disparEtrô;;;;;disparEtra;;;;disparEsE;disparEsE;disparEsE;disparEtr;;;;;dispary;;disparEse;disparE;disparEsâ;;;;;;disparEtrE;;disparE;disparEse;disparE;disparEs;disparE;dispary;dispary;dispary;dispary;;disparEs;;;;disparEs
956;dispenser;;;;;;;;;;;;;;;;;;;dispâse;;;;;;;;dispâs;dispâsâ;;;;;;dispâs6rE;;dispâs;;dispâs;dispâs;dispâs;;;dispâse;dispâse;;;;;;
957;disperser;;;;;;dispErsa;;;;;;;;;;;;dispErsE;dispErse;;;;;;;dispErse;dispErs;dispErsâ;;;;;dispErs6rE;;;;dispErse;;dispErs;dispErs;dispErse;dispErse;dispErse;;;;;;;
958;disposer;;;;;dispOzEr;dispOza;;;;;;dispOz6ra;dispOzjô;dispOzE;;dispOzE;dispOzE;dispOzE;dispOze;;;;;;dispOzô;dispOze;dispoz;dispOzâ;;;;;;dispOz6rE;dispOzô;dispoz;dispOze;dispoz;dispoz;dispoz;dispOze;dispOze;dispOze;dispOze;;;;;;
959;disputer;dispytam;;;;dispytEr;;dispyt6rô;;;;;;dispytjô;;;;dispytE;dispytE;dispyte;;;;;dispyta;dispytô;dispyte;dispyt;;;;;;;;dispytô;dispyt;dispyte;;dispyt;dispyt;dispyte;dispyte;dispyte;dispyte;;;;;;dispyt
960;disqualifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diskalifje;diskalifje;;;;;;
961;disserter;;;;;;;;;;;;;;;;;;;;;;;;;;;disErt;;;;;;;;;;;;;;;;;;;;;;;
962;dissimuler;;;;;;disimyla;;;;;;;;disimylE;;disimylE;;disimylE;disimyle;;;;;;;disimyle;disimyl;disimylâ;;;;;;;;disimyl;disimyle;;disimyl;disimyl;;disimyle;disimyle;disimyle;;;;;;
963;dissiper;;;;;;disipa;;;;;;;;;;;disipE;disipE;disipe;;;;;;;disipe;disip;disipâ;;;;;;disip6rE;;disip;;;;disip;;disipe;;disipe;;;;;;
964;dissocier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disOsje;;;;;;
965;dissoudre;;;;;;;;;;;;;;;;;disOlvE;disOlvE;disudr;;;;;;;;disu;disOlvâ;;;;;;disudrE;;disu;;disu;;disu;;;;;;;;;;disOlv
966;dissuader;;;;;;;;;;;;;;;;;;;disyade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
967;disséminer;;;;;;disEmina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disEmine;;disEmine;;;;;;;
968;disséquer;;;;;;;;;;;;;;;;;;;disEke;;;;;;;;;;;;;;;;;;;;;disEk;;;;;;;;;;
969;distancer;;;;;;;;;;;;;;;;;;;distâse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
970;distendre;;;;;;;;;;;;;;;;;;distâdE;;;;;;;;;;;;;;;;;;;;;;distâ;;;distâdy;distâdy;;;;;;
971;distiller;;;;;;;;;;;;;;;;;;distilE;;;;;;;;;;;;;;;;;;distil;;;;distil;;distile;;;;;;;;
972;distinguer;;;;;;distêga;;;;;;;;distêgE;;;distêgE;distêgE;distêge;;;;;;distêgô;;distêg;distêgâ;;;;;;;distêgô;distêg;;distêg;distêg;distêg;distêge;distêge;distêge;distêge;;;;;;
973;distraire;;;;;;;;;;;;distrEra;;;;;distrEjE;;distrEr;;;;;;;;;distrEjâ;;;;;;;;;;distrE;distrE;distrE;;distrEt;distrE;distrE;;;;;distrE;
974;distribuer;;;;;;distribya;;;;;;distribyra;;;;distribyE;;distribyE;distribye;;;;;;;distribye;distriby;distribyâ;;;;;;;;distriby;;;distriby;distriby;;;;distribye;;;;;;
975;divaguer;;;;;;;;;;;;;;;;;divagE;;divage;;;;;;;;divag;;;;;;;;;divag;divage;;divag;divag;;;;;;;;;;
976;diverger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;divErZ;;;;;;;;;;;
977;diversifier;;;;;;;;;;;;;;;;;;;divErsifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
978;divertir;;divErti;;;;;;;;;;;;;;;divErtisE;;divErtir;;;;;;;;;;;;;;;;;divErti;divErtise;divErti;;;;;;;;;;;;
979;diviser;;;;;;;;;;;;;;;;;;divizE;divize;;;;;;;divize;diviz;divizâ;;;;;;;;diviz;;;diviz;diviz;;divize;divize;divize;;;;;;
980;divorcer;;;;;;;;divOrs6rE;;;;;divOrsjô;;;;;;divOrse;;;;;;;;divOrs;divOrsâ;;divOrs6rE;;;;divOrs6rE;;;divOrse;;divOrs;divOrs;;divOrse;divOrse;divOrse;;;;;;
981;divulguer;;;;;;;;;;;;;;;;;;divylgE;divylge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
982;diéser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djEz;;;;;;;;;;
983;documenter;;;;;;dOkymâta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
984;dodeliner;;;;;;;;;;;;;;;;;;dOd6linE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
985;domestiquer;;;;;;;;;;;;;;;;;;;dOmEstike;;;;;;;;;;;;;;;;;;;;;;;;dOmEstike;dOmEstike;;;;;;
986;domicilier;;;;;;;;;;;;;;;;;;;dOmisilje;;;;;;;;;;;;;;;;;;;;;;;;;dOmisilje;;;;;;
987;dominer;;;;;;dOmina;;;;;;dOmin6ra;;dOminE;;;dOminE;dOminE;dOmine;;;;;;;;dOmin;dOminâ;;;;dOmin6rE;;;;dOmin;;;dOmin;dOmin;dOmine;dOmine;dOmine;dOmine;;;;;;
988;dompter;;;;;;;;;;;;;;;;;;dôtE;dôte;;;;;;;;dôpt;;;;;;;;;;;;;;;;;dôte;;;;;;
989;donner;;dOnE;;;dOnEr;dOna;dOn6rô;dOn6rE;dOn6re;dOn6ra;dOn6rô;dOn6ra;dOnjô;dOnE;dOnje;dOnE;dOnE;dOnE;dOne;;;;;dOna;dOnô;dOne;dOn;dOnâ;;dOn6rE;dOn6rje;dOn6rE;dOn6rE;dOn6rE;dOnô;dOn;dOne;dOn;dOn;dOn;dOne;dOne;dOne;dOne;dOnjô;dOn;dOnje;dOn;dOn;dOn
990;doper;;;;;;;;;;;;;;;;;;;;;;;;;;;dOp;;;;;;;;;;;;;;;;;dOpe;;;;;;
991;dorer;;;;;;;;;;;;;;;;;dOrE;;dOre;;;;;;;;dOr;;;;;;;;;dOr;;;;;dOre;dOre;dOre;dOre;;;;;;
992;dorloter;;;;;;;;;;;;;;;;;;;dOrlOte;;;;;;;dOrlOte;dOrlOt;;;;;;;;;dOrlOt;;;;;;;;;;;;;;
993;dormir;dOrmim;dOrmi;;;;dOrmi;;dOrmirE;dOrmire;dOrmira;dOrmirô;dOrmira;dOrmjô;dOrmE;dOrmje;dOrmE;dOrmE;dOrmE;dOrmir;;;;;;dOrmô;dOrme;dOr;dOrmâ;;dOrmirE;;dOrmirE;dOrmirE;;dOrmô;dOr;dOrme;dOr;dOrm;dOr;;;;;;dOrm;;dOrm;dOrm;dOrm
994;doser;;;;;;;;;;;;;;;;;;;dOze;;;;;;;;;;;;;;;;;;;doz;doz;doz;;;dOze;;;;;;;
995;doter;;;;;;dOta;;;;;;;;;;;;;dOte;;;;;;;;;;;;;;;;;;;;;dOt;dOte;dOte;dOte;dOte;;;;;;
996;doubler;;;;;;dubla;;;;;;dubl6ra;;;;;dublE;dublE;duble;;;;;;;duble;dubl;dublâ;;;;;;;;dubl;duble;;dubl;dubl;duble;duble;duble;duble;;;;;;
997;doucher;;;;;;;;;;;;;;;;;;;duSe;;;;;;;;duS;;;;;;;;;duS;;;;duS;;;;duSe;;duS;;;;
998;douer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;due;due;due;;;;;;
999;douter;;;;;;duta;;;;;;;dutjô;dutE;;dutE;dutE;dutE;dute;;;;;duta;;dute;dut;;;dut6rE;dut6rje;dut6rE;;;;dut;dute;dut;dut;dut;;;;dute;;;;;dut;
1000;draguer;;;;;;;;;;;;;;;;dragE;;dragE;drage;;;;;;;;drag;;;;;;;;;drag;;;;drag;;drage;;drage;;;;;;
1001;drainer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;drEn;;;;;;;;;;;;;;
1002;dramatiser;;;;;;;;;;;;;;;;;;dramatizE;dramatize;;;;;;;;;;;;;;;;;;;dramatiz;;dramatiz;;;;;;;;;;
1003;draper;;;;;drapEr;;;;;;;;;;;;;drapE;;;;;;;;;drap;;;;;;;;;;;;;;drape;drape;;;;;;;;
1004;dresser;;;;;;drEsa;;;;;;drEs6ra;;drEsE;;;drEsE;drEsE;drEse;;;;;drEsa;drEsô;drEse;drEs;drEsâ;;;;;;;drEsô;drEs;drEse;;drEs;drEs;drEse;drEse;drEse;drEse;;;;;;
1005;droguer;;;;;;;;;;;;;;;;;;;drOge;;;;;;;drOge;drOg;;;;;;;;;drOg;drOge;drOg;drOg;drOg;drOge;drOge;;drOge;;;;drOg;;
1006;duper;;;;;;;;;;;;;;;;;;;dype;;;;;;;;;;;;;;;;;;;;;;;;;dype;;;;;;
1007;durcir;;;;;;dyrsi;;;;;;;;;;;;;dyrsir;;;;;;;;;;;;;;;;;;;;;dyrsi;;;dyrsi;dyrsi;;;;;;
1008;durer;;;;;;dyra;;;;;;dyr6ra;;;;;dyrE;dyrE;dyre;;;;dyras;;;;dyr;dyrâ;;;;;;dyr6rE;;dyr;;;dyr;dyr;;;;;;;;;;
1009;duveter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dyv6te;;;;;;
1010;dynamiter;;;;;;;;;;;;;;;;;;;dinamite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011;déambuler;;;;;;;;;;;;;;dEâbylE;;;dEâbylE;;dEâbyle;;;;;;;dEâbyle;;dEâbylâ;;;;;;;;;;;dEâbyl;dEâbyl;;;;;;;;;;
1012;déballer;;;;;;dEbala;;;;;;;;;;;dEbalE;;dEbale;;;;;;;;dEbal;;;;;;;;;dEbal;dEbale;;dEbal;;;;;dEbale;;;;;;
1013;débander;;;;;;;;;;;;;;;;;;;dEbâde;;;;;;;;;;;;;;;;;dEbâd;;;;;;;;;;;;;;
1014;débaptiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbatiz6rE;;;;;;;;;;;;;;;;;;;;
1015;débarbouiller;;;;;;;;;;;;;;;;;;dEbarbujE;;;;;;;;;dEbarbuj;;;;;;;;;dEbarbuj;;;;;;dEbarbuje;;;;;;;;
1016;débarder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbarde;;;;;;;;
1017;débarquer;;;;;;;;;dEbark6re;;dEbark6rô;;dEbarkjô;;;;dEbarkE;dEbarkE;dEbarke;;;;;;dEbarkô;dEbarke;dEbark;dEbarkâ;;;;;;;;dEbark;;dEbark;dEbark;dEbark;dEbarke;dEbarke;dEbarke;dEbarke;;;;;;
1018;débarrasser;;;;;dEbarasEr;dEbarasa;;;dEbaras6re;dEbaras6ra;dEbaras6rô;dEbaras6ra;;;;;;dEbarasE;dEbarase;;;;;;;dEbarase;dEbaras;dEbarasâ;;dEbaras6rE;;;;;;dEbaras;dEbarase;dEbaras;;dEbaras;;dEbarase;dEbarase;dEbarase;;;;dEbaras;;
1019;débattre;;dEbati;;;;dEbati;;;;;;;;dEbatE;;;;dEbatE;dEbatr;;;;;;;;dEba;dEbatâ;;;;;;;;dEba;;dEba;dEbat;dEba;;dEbaty;dEbaty;dEbaty;;;;;;
1020;débaucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEboS;;;;dEboS;;;;;;;;;;
1021;débecter;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbEkt;;;;;;;;;dEbEkt;;;;;;;;;;;;;;
1022;débiliter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbilit;;;;dEbilite;;;;;;
1023;débiner;;;;;;;;;;;;;;;;;;;dEbine;;;;;;;;dEbin;;;;;;;;;;dEbine;;;dEbin;;;;;;;;;;
1024;débiter;;;;;;dEbita;;;;;;;;;;;dEbitE;dEbitE;dEbite;;;;;;;dEbite;dEbit;;;;;;;;;dEbit;dEbite;dEbit;;dEbit;;dEbite;;dEbite;;;;;;
1025;déblatérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEblatErâ;;;;;;;;;;;;;;;;;;;;;;
1026;déblayer;;;;;;;;;;;;;;;;;;;dEblEje;;;;;;;;;;;;;;;;;;;;;;dEblEje;;;dEblEje;;;;;;
1027;débloquer;;;;;;;;;;;;;;;;;;dEblOkE;dEblOke;;;;;;;dEblOke;dEblOk;;;;;;;;;dEblOk;dEblOke;;dEblOk;dEblOk;;dEblOke;;;;;;;;
1028;déborder;;;;;;;;;;;;;;;;;dEbOrdE;dEbOrdE;dEbOrde;;;;;;;;dEbOrd;dEbOrdâ;;;;;;;;dEbOrd;dEbOrde;;dEbOrd;dEbOrd;dEbOrde;dEbOrde;dEbOrde;dEbOrde;;;;;;
1029;déboucher;;;;;dEbuSEr;dEbuSa;;;;;;;;;;;dEbuSE;dEbuSE;dEbuSe;;;;;;;;dEbuS;dEbuSâ;;;;;;;dEbuSô;dEbuS;;;dEbuS;dEbuS;;;;dEbuSe;;;;;;
1030;déboucler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbukl;;;;;;;;;;
1031;débouler;;;;;;;;;;;;;;;;;dEbulE;dEbulE;dEbule;;;;;;;;;;;;;;;;;dEbul;;;;dEbul;;;;dEbule;;;;;;
1032;débourrer;;;;;;;;;;;;;;;;;;;dEbure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1033;débourser;;;;;;;;;;;;;;;;;;;dEburse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1034;déboussoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEbusOle;dEbusOle;dEbusOle;;;;;;
1035;déboutonner;;;;;;dEbutOna;;;;;;;;;;;;dEbutOnE;dEbutOne;;;;;;;;;;;;;;;;;;;;;dEbutOn;;;;dEbutOne;;;;;;
1036;déboîter;;;;;;;;;;;;;;;;;dEbwatE;;;;;;;;;;;;;;;;;;;;;;;dEbwat;dEbwate;;;;;;;;;
1037;débrancher;;;;;;;;;;;;;;;;;;;dEbrâSe;;;;;;dEbrâSô;;dEbrâS;;;;;;;;dEbrâSô;dEbrâS;dEbrâSe;;;dEbrâS;;;;dEbrâSe;;;;;;
1038;débrayer;;;;;;dEbrEja;;;;;;;;;;;;dEbrEjE;;;;;;;;;;;;;;;;;;dEbrEj;;;;dEbrEj;;;;;;;;;;
1039;débrider;;;;;;;;;;;;;;;;;;;dEbride;;;;;;;;;;;;;;;;;dEbrid;;;;;;;;;;;;;;
1040;débrouiller;;;;;;;dEbruj6rô;dEbruj6rE;dEbruj6re;dEbruj6ra;;dEbruj6ra;;;;;;dEbrujE;dEbruje;;;;;;;dEbruje;dEbruj;;;;;;;dEbruj6rE;;dEbruj;dEbruje;dEbruj;dEbruj;dEbruj;;dEbruje;;dEbruje;;dEbruj;;;;
1041;débusquer;;;;;;;;;;;;;;;;;;dEbyskE;dEbyske;;;;;;;;;;;;;;;dEbysk6rE;;;;;;;;;;dEbyske;;;;;;
1042;débuter;;;;;;dEbyta;;;;;;;;;;;;;dEbyte;;;;;;;dEbyte;dEbyt;;;;;;;;;dEbyt;;;dEbyt;dEbyt;;;;dEbyte;;;;;;
1043;décacheter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkaS6te;;;;;;;;;
1044;décaféiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkafEine;;;;;;
1045;décalcifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkalsifje;;;;;;
1046;décaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkal;dEkal;;dEkale;;dEkale;;;;;;
1047;décalotter;;;;;;dEkalOta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1048;décalquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEkalk;;;;;;;;;;
1049;décamper;;;;;;dEkâpa;;;;;;dEkâp6ra;;;;;;;dEkâpe;;;;;;;dEkâpe;dEkâp;;;;;;;;;;;;;dEkâp;;;;;;;;;;
1050;décanter;;;;;;;;;;;;;;;;;;;dEkâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1051;décaper;;;;;;;;;;;;;;;;;;dEkapE;;;;;;;;;;;;;;;;;;;;;;;;;;dEkape;;;;;;
1052;décapiter;;;;;;dEkapita;;;;;;;;;;;;;dEkapite;;;;;;;;dEkapit;;;;;;;;;;;;;;dEkapite;;;dEkapite;;;;;;
