;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
1400;horripiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oripil;;;;;;;;;;;;;;
1401;hospitaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ospitalize;;;;;;;;
1402;huer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;y;;;;;;;;;;
1403;humer;;;;;;yma;;;;;;;;;;;;;;;;;;;;ymâ;;;;;;;;ym;;;;ym;;;;;;;;;;
1404;humilier;;;;;;;;;;;;;;;;;;;ymilje;;;;;;;;;;;;;;;ymili;;ymili;;;;ymilje;;ymilje;;;;;;
1405;hurler;;;;;yrlEr;yrla;;;;;;;;;;;;yrlE;yrle;;;;;;yrl;yrlâ;;;;;;;;yrl;;;;yrl;;;;yrle;;;;;;
1406;hypnotiser;;;;;;;;;;;;;;;;;ipnOtizE;;ipnOtize;;;;;;;;;;;;;;;;;;;;;;ipnOtize;ipnOtize;;;;;;
1407;hâter;;;;;;;;;;;;;;;;;;atE;ate;;;;;;;atâ;;;;;;;;;ate;;;;;;;;;;;;;
1408;héberger;;;;;;;;;;;;;;;;;;;EbErZe;;;;;EbErZe;;;;;;;;;EbErZô;;;;;;;;;;;;;;;
1409;héler;;;;;;;;;;;;;;;;;;;;;;;;;El;;;;;;;;;;;;;;;;;;;;;;;
1410;hérisser;;;;;;;;;;;;;;;;;;;;;;;;;Eris;;;;;;;;;;;;;;Erise;;;Erise;;;;;;
1411;hériter;;;;;;;;;;;;;;;;;;EritE;;;;;;;;;;;;;;;;;;;;;;;;Erite;;;;;;
1412;hésiter;;EzitE;;;;Ezita;;;;;;Ezit6ra;;EzitE;;EzitE;EzitE;EzitE;Ezite;;;;Ezitô;Ezite;Ezit;Ezitâ;;;;;;;;Ezit;Ezite;;;Ezit;;;;;;;;;;
1413;identifier;;idâtifjE;;;;;;;;;;;;;;;;;idâtifje;;;;idâtifjô;;;;;;;;;;;;idâtifje;;;;;;idâtifje;idâtifje;;;;;;
1414;idolâtrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;idOlatr;;;;;;;;;;
1415;ignifuger;;;;;;;;;;;;;;;;;;;ignifyZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1416;ignorer;;;;;;;;;;;;;;iJOrE;;iJOrE;;iJOrE;iJOre;;;;iJOrô;iJOre;iJOr;iJOrâ;;;;;;;iJOrô;iJOr;iJOre;iJOr;iJOr;iJOr;;;;iJOre;;;;iJOr;;iJOr
1417;illuminer;;;;;;ilymina;;;;;;;;;;;ilyminE;ilyminE;;;;;;;ilymin;ilyminâ;;;;;;;;;;;;;;;;;;;;;;
1418;illusionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ilyzjOn;;;;;;;;;;;;;;
1419;illustrer;;;;;;ilystra;;;;;;;;;;;;;;;;;;;ilystr;;;;;;;;;;;;;ilystr;;;;;;;;;;
1420;imaginer;;imaZinE;;;;imaZina;;;;imaZin6ra;;;;imaZinE;;imaZinE;;imaZinE;imaZine;;;;imaZinô;imaZine;imaZin;;;;;;;imaZin6rE;;imaZin;imaZine;imaZin;imaZin;imaZin;;;;imaZine;;imaZin;imaZinje;imaZin;;imaZin
1421;imbiber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êbibe;;êbibe;;;;;;
1422;imbriquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êbrike;;;;;;;;;
1423;imiter;;;;;;imita;;;;;;;;;;imitE;;;imite;;;;imitô;;imit;imitâ;;;;;;;;imit;;;;;;;;;;;;;;
1424;immerger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;imErZe;;;;;;
1425;immiscer;;;;;;;;;;;;;;;;;;;imise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1426;immobiliser;;imObilizE;;;imObilizEr;imObiliza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1427;immuniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;imynize;;;;;;;;
1428;impatienter;;;;;;;;;;;;;;;;;;;êpasjâte;;;;;êpasjâte;;;;;;;;;;;;;;êpasjât;;;;;;;;;;
1429;implanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êplâte;;;;;;
1430;impliquer;;;;;;;;;;;;;;;;;;êplikE;;;;;;;êplik;;;;;;;;;êplik;;;;êplik;êplike;êplike;;êplike;;;;;;
1431;implorer;;;;;;;;;;;;;;;;;;;;;;;êplOrô;;êplOr;êplOrâ;;;;;;;;êplOr;;;êplOr;êplOr;;;;;;;;;;
1432;imploser;;;;;;;;;;;;;;;;;;;êplOze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1433;importer;;;;;;;;;;;;êpOrt6ra;;;;;;êpOrtE;;;;;;;êpOrt;êpOrtâ;;;;;;;;êpOrt;;;êpOrt;êpOrt;;;;;;;;;;
1434;imposer;;êpOzE;;;;êpOza;;;;;;;;;;;;êpOzE;êpOze;;;;;;êpoz;êpOzâ;;;;;;êpOz6rE;;êpoz;;;êpoz;;;êpOze;;êpOze;;êpoz;;;;
1435;impressionner;;;;;;;;;;;;;;;;;;êprEsjOnE;êprEsjOne;;;;;;êprEsjOn;;;;;;;;;êprEsjOn;;;;êprEsjOn;;;êprEsjOne;êprEsjOne;;;;;;
1436;imprimer;;;;;;;;;;;;;;;;;;êprimE;êprime;;;;;;;;;;;;;;;êprim;;;;êprim;;êprime;;êprime;;;;;;
1437;improviser;;;;;;êprOviza;;;;;;;;;;;;;êprOvize;;;;;;êprOviz;;;;;;;;;;;;êprOviz;;êprOvize;;;;;;;;;
1438;imprégner;;;;;;;;;;;;;;;;;êprEJE;êprEJE;êprEJe;;;;;;;;;;;;;;;êprEJ;;;;êprEJ;;;;êprEJe;;;;;;
1439;imputer;;;;;;;;;;;;;;;;;êpytE;;;;;;;;êpyt;;;;;;;;;;;;;;;;;;;;;;;
1440;inaugurer;;;;;;;;;;;;;;;;;;;inOgyre;;;;;;;;;;;;;;;;;;;;;;;inOgyre;;;;;;
1441;incarcérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êkarsEre;;;;;;
1442;incarner;;;;;;;;;;;;;;êkarnE;;;êkarnE;êkarnE;êkarne;;;;;;êkarn;;;;;;;;;êkarn;;;êkarn;;;;;êkarne;;;;;;
1443;incendier;;;;;;;;;;;;;;;;;;;;;;;;;;êsâdjâ;;;;;;;;;;;;;;;;êsâdje;;;;;;
1444;incinérer;;;;;;;;;;;;;;;;;;;êsinEre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1445;inciter;;;;;;;;;;;;;;;;;;;êsite;;;;;;êsit;;;;;;;;;êsit;;;;;;;;;;;;;;
1446;incliner;;;;;;êklina;;;;;;;;;;;êklinE;êklinE;êkline;;;;;;êklin;êklinâ;;;;;;;;êklin;;;êklin;êklin;;;;êkline;;;;;;êklin
1447;inclure;;;;;;êkly;;;;;;;;;;;;;;;;;;;êkly;;;;;;;;;êkly;;êkly;;;;;;;;;;;;
1448;incomber;;;;;;;;;;;;;;;;;;êkôbE;;;;;;;;;;;;;;;;êkôb;;;;êkôb;;;;;;;;;;
1449;incommoder;;;;;;;;;;;;;;;;;;êkOmOdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1450;incorporer;;;;;;;;;;;;;;;;;;;êkOrpOre;;;;;;;;;;;;;;;;;;;;;;;êkOrpOre;;;;;;
1451;incruster;;;;;;;;;;;;;;êkrystE;;;;;;;;;;;;;;;;;;;;;;;êkryst;;êkryste;êkryste;;;;;;;;
1452;inculper;;;;;;;;;;;;;;;;;;;êkylpe;;;;;;;;;;;;;;;êkylp;;;;;;êkylpe;;êkylpe;;;;;;
1453;inculquer;;;;;;;;;;;;;;;;;;;êkylke;;;;;;;;;;;;;;;êkylk;;;;êkylk;;;;;;;;;;
1454;incurver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êkyrv;;;;;;;;;;
1455;indifférer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êdifEr;;;;;;;;;;;
1456;indigner;;;;;;;;;;;;;;;;;;;êdiJe;;;;;;êdiJ;;;;;;;;;êdiJ;;;;;;;;;;;;;;
1457;indiquer;;êdikE;;;;;;;;;;;êdikjô;;;;;êdikE;êdike;;;;;;êdik;êdikâ;;;;;;;;êdik;;;êdik;êdik;;;êdike;êdike;;;;;;
1458;indisposer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êdispOze;;;;;;;;
1459;infecter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êfEkte;;êfEkte;;;;;;
1460;infester;;;;;;;;;;;;;;;;;êfEstE;;;;;;;;;;;;;;;;;;;;;;;;;êfEste;;;;;;
1461;infiltrer;;;;;;;;;;;;;;;;;;;;;;;;êfiltre;;;;;;;;;;êfiltr;;;;;;êfiltre;;êfiltre;;;;;;
1462;infirmer;;;;;;;;;;;;;;;;;;;êfirme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1463;infliger;;;;;;;;;;;;êfliZ6ra;;;;;;;êfliZe;;;;;;;;;;;;;;;êfliZ;;;êfliZ;;;êfliZe;;êfliZe;;;;;;
1464;influencer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êflyâs;;;;;;;;;;;;;;
1465;infléchir;;;;;;;;;;;;;;;;;;;êflESir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1466;informer;;;;;;;;;;;;;;;;;;;êfOrme;;;;;êfOrme;êfOrm;;;;;;;;;êfOrm;;;;êfOrm;;êfOrme;êfOrme;êfOrme;;;;;;êfOrm
1467;ingurgiter;;;;;;;;;;;;;;;;;;;êgyrZite;;;;;;;;;;;;;;;;;;;;;;;êgyrZite;;;;;;
1468;inhiber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inib;;;;;;;;;;
1469;initier;;;;;;;;;;;;;;;;;;;;;;;;;;inisjâ;;;;;;;;;;;;inisi;;inisje;;inisje;;;;;;
1470;injurier;;;;;;;;;;;;;;;;;;êZyrjE;;;;;;;;;;;;;;;;;;;;;;;êZyrje;;;;;;;
1471;innocenter;;;;;;;;;;;;;;;;;;;;;;;;;inOsât;;;;;;;;;;;;;;;;;;;;;;;
1472;inonder;;;;;;;;;;;;;;;;;;;;;;;;;inôd;;;;;;;;;inôd;;;;;;inôde;;inôde;;;;;;
1473;inquiéter;;;;;;êkjEta;;;;;;;;;;;;êkjEtE;êkjEte;;;;;êkjEte;êkjEt;;;;;;;;;êkjEt;êkjEte;êkjEt;êkjEt;êkjEt;;;;êkjEte;;êkjEt;;;;êkjEt
1474;inscrire;;;;;;;;;;;;êskrira;;;;;êskrivE;;êskrir;;;;;;êskri;;;;;;;;;;êskrive;;;êskri;;êskrit;êskri;êskri;;;;;;
1475;insinuer;;;;;;;;;;;;;;;;;;;êsinye;;;;;;êsiny;;;;;;;;;;;êsiny;;;;;;;;;;;;
1476;insister;;êsistE;;;;êsista;;;;;;;;;;;;êsistE;êsiste;;;;;;êsist;êsistâ;;;;;;;;êsist;;;;êsist;;;;;;;;;;
1477;inspecter;;;;;;;;;;;;;;;;;êspEktE;;êspEkte;;;;;;êspEkt;;;;;;;;;êspEkt;;;;êspEkt;;;;êspEkte;;;;;;
1478;inspirer;;;;;;êspira;;;;;;;;;;;;êspirE;;;;;;;êspir;;;;;;;;;êspir;;;êspir;êspir;;êspire;;êspire;;;;;;êspir
1479;installer;;;;;êstalEr;êstala;;;;;;êstal6ra;;;;;êstalE;êstalE;êstale;;;;;êstale;êstal;;;;;;;;;êstal;;;;êstal;;êstale;êstale;êstale;;;;;;êstal
1480;instaurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êstOre;;;;;;
1481;instituer;;;;;;;;;;;;;;;;;;;êstitye;;;;;;;êstityâ;;;;;;;;;;;;;;;;;;;;;;
1482;instruire;êstrHizim;;;;;;;;;;;;;;;;;êstrHizE;;;;;;;;;;;;;;;;;;êstrHi;;êstrHi;;êstrHit;;;;;;;;
1483;insuffler;;;;;;;;;;;;;;;;;;;êsyfle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1484;insulter;;;;;;;;;;;;;;;;;;êsyltE;êsylte;;;;;êsylte;êsylt;;;êsylt6rE;;;;;;;;êsylt;;êsylt;;;;;;;;;;
1485;intenter;;;;;;;;;;;;;;;;;;;;;;;;;êtât;;;;;;;;;;;;;;;;;;;;;;;
1486;intercaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtErkal;;;;;;;;;;;;;;
1487;intercepter;;;;;;;êtErsEpt6rô;;;;;;;;;;;;êtErsEpte;;;;;;;;;;;;;;;;;;;;;êtErsEpte;;êtErsEpte;;;;;;
1488;interdire;;;;;;;;;;;;;;;;êtErdizE;êtErdizE;êtErdizE;êtErdir;;;;;;êtErdi;;;;;;;;;êtErdi;;êtErdi;;êtErdi;êtErdit;;;êtErdi;;;;;;
1489;interner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtErne;;;;;;êtErn
1490;interpeller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtErpEl;;;;êtErpEl;;;;êtErpEle;;;;;;
1491;interposer;;;;;;;;;;;;;;;;;;;;;;;;;êtErpoz;;;;;;;;;;;;êtErpoz;;;;;êtErpOze;;;;;;
1492;interpréter;;;;;;êtErprEta;;;;;;;;êtErprEtE;;;;êtErprEtE;êtErprEte;;;;;;;;;;;;;;;;;;êtErprEt;êtErprEt;;êtErprEte;;êtErprEte;;;;;;
1493;interroger;;;;;;;;;;;;;;;;;;êtErOZE;êtErOZe;;;;;êtErOZe;êtErOZ;;;;;;;;êtErOZô;êtErOZ;;;;êtErOZ;;êtErOZe;;êtErOZe;;;;;;êtErOZ
1494;interrompre;;;;;;êtErôpi;;;;;;;;;;;;;êtErôpr;;;;;êtErôpe;;;;;;;;;;;êtErôpe;êtErô;;êtErô;;êtErôpy;;êtErôpy;;;;;;
1495;intervenir;;;;;;êtErvê;;;;;;;;;;;;;êtErv6nir;;;;;êtErv6ne;;;;;;;;;;êtErvjê;;êtErvjê;;êtErvjê;êtErv6ny;;êtErv6ny;;;;;;;
1496;intervertir;;;;;;;;;;;;;;;;;;;êtErvErtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1497;intimider;;;;;;;;;;;;;;;;;êtimidE;êtimidE;êtimide;;;;;;;;;;;;;;;êtimid;;;;êtimid;;êtimide;êtimide;;;;;;;
1498;intituler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êtityl;;;;;;êtityle;êtityle;êtityle;;;;;;
1499;intriguer;;;;;;êtriga;;;;;;;;;;;;êtrigE;;;;;;êtrige;;;;;;;;;;;;;;êtrig;;;;êtrige;;;;;;
1500;introduire;;;;;;êtrOdHizi;;;;;;;;;;;;;;;;;êtrOdHizô;;;;;;;;;;;;;;;êtrOdHi;;;êtrOdHi;êtrOdHi;;;;;;
1501;intégrer;;;;;;;;;;;;;;;;;;;êtEgre;;;;;;êtEgr;;;;;;;;;;;;;;;;;;;;;;;
1502;intéresser;;;;;;;;;;;;êtErEs6ra;;;êtErEsje;;êtErEsE;êtErEsE;êtErEse;;;;;;êtErEs;êtErEsâ;;;;;;êtErEs6rE;;êtErEs;êtErEse;êtErEs;êtErEs;êtErEs;;êtErEse;êtErEse;êtErEse;;êtErEs;;;;êtErEs
1503;invalider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;êvalide;;;;;;
1504;inventer;;;;;;êvâta;;;;;;êvât6ra;;;;;;;êvâte;;;;;;êvât;;;;;;;;;êvât;;êvât;êvât;êvât;;êvâte;;êvâte;;;;;;
1505;inverser;;;;;;;;;;;;;;;;;;;êvErse;;;;;;;;;;;;;;;;êvErse;;;;;;;êvErse;;;;;;
1506;investir;;;;;;êvEsti;;;;;;;;;;;;;êvEstir;;;;;;;;;;;;;;;;êvEstise;êvEsti;;êvEsti;;;êvEsti;;;;;;;
1507;inviter;;;;;;êvita;;;;;;;;;;êvitE;;êvitE;êvite;;;;êvitô;;êvit;êvitâ;;;;;;;;êvit;êvite;êvit;êvit;êvit;êvite;êvite;êvite;êvite;;êvit;;êvit;;
1508;invoquer;;;;;;;;;;;;;;;;;êvOkE;;êvOke;;;;;;êvOk;;;;;;;;;êvOk;;;;;;;;êvOke;;;;;;
1509;iriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;irize;;;;;;
1510;ironiser;;;;;;irOniza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;irOniz;;;;;;;;;;
1511;irriter;;;;;;;;;;;;;;;;;;;irite;;;;;;;;;;;;;irit6rE;;irit;;;;irit;;irite;;irite;;;;;;irit
1512;isoler;;;;;;;;;;;;;;;;;;;izOle;;;;;;;;;;;;;;;;;;izOl;izOl;;;;;;;;;;
1513;jacasser;;;;;;;;;;;;;;;;;;;;;;;;;;Zakasâ;;;;;;;;;;;;;;;;;;;;;;
1514;jacter;;;;;;;;;;;;;;;;;;;Zakte;;;;;;;;;;;;;;;Zakt;;;;Zakt;;;;;;;;;;
1515;jaillir;;;;;;Zaji;;;;;;;;;;;ZajisE;ZajisE;Zajir;;;;;;;Zajisâ;;;;;;;;;;Zaji;Zajis;Zaji;;;;;;;;;;
1516;jauger;;;;;;;;;;;;;;;;;;;ZOZe;;;;;;ZoZ;;;;;;;;;ZoZ;;;;;;;;;;;;;;
1517;jaunir;;;;;;;;;;;;;;;;;;ZOnisE;;;;;;;;;;;;;;;;;;;;;;;;ZOni;;;;;;
1518;javelliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZavElize;;;;;;;;;
1519;jeter;;Z6tE;;;Z6tEr;Z6ta;;;;;ZEt6rô;;Z6tjô;;;;;Z6tE;Z6te;;;;Z6tô;Z6te;ZEt;Z6tâ;;ZEt6rE;;ZEt6rE;;;Z6tô;ZEt;Z6te;;;ZEt;;Z6te;Z6te;Z6te;;ZEt;;ZEt;ZEt;ZEt
1520;joindre;;;;;;ZwaJi;;;;;;;;;;;;;Zwêdr;;;;;ZwaJe;;;;;;;;;;;;Zwê;;Zwê;;;Zwê;;;;;;;ZwaJ
1521;joncher;;;;;;;;;;;;;;;;;ZôSE;;;;;;;;;;;;;;;;;;;;ZôS;;;ZôSe;;;;;;;;
1522;jongler;;;;;;;;;;;;;;;;;;ZôglE;;;;;;Zôgle;;;;;;;;;;;;;;;;;;;;;;;;
1523;jouer;;;;;;Zua;;ZurE;;Zura;;Zura;Zujô;ZuE;;ZuE;ZuE;ZuE;Zue;;;;Zuô;Zue;Zu;Zuâ;;ZurE;;ZurE;;;;Zu;Zue;Zu;Zu;Zu;;;;Zue;;;;Zu;;Zu
1524;jouir;;;;;;Zui;;;;;;;;ZuisE;;ZuisE;;ZuisE;Zuir;;;;;Zuise;;;;;;;;;;;;Zui;;Zui;;;;;;;;;;
1525;jubiler;;;;;;;;;;;;;;;;;;;Zybile;;;;;;;;;;;;;;;Zybil;;;;Zybil;;;;;;;;;;
1526;jucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZySe;ZySe;;;;;;
1527;juger;;ZyZE;;;ZyZEr;;;;;;;;;;;ZyZE;;;ZyZe;;;ZyZa;ZyZô;;ZyZ;ZyZâ;;;;;;;ZyZô;ZyZ;ZyZe;ZyZ;;ZyZ;;ZyZe;;ZyZe;;;;ZyZ;;ZyZ
1528;jurer;;;;;;Zyra;;;;;;;;;;;;ZyrE;Zyre;;;;;Zyre;Zyr;;;;;;;Zyr6rE;;Zyr;Zyre;;;Zyr;;;;Zyre;;Zyr;;;;
1529;justifier;;;;;;;;;;;;;;;;;;ZystifjE;Zystifje;;;;;;Zystifi;;;;;;;;;Zystifi;;;;;;Zystifje;;;;;;;;
1530;kidnapper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kidnape;kidnape;;;;;;
1531;klaxonner;;;;;;;;;;;;;;;;;;;;;;;;;klaksOn;;;;;;;;;;;;;;;;;;;;;;;
1532;labourer;;;;;;;;;;;;;;;;;;;;;;;;;labur;laburâ;;;;;;labur6rE;;;;;;labur;;labure;;;;;;;;
1533;lacer;;;;;;;;;;;;;;;;;;;lase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1534;lacérer;;;;;;lasEra;;;;;;;;;;;;;lasEre;;;;;;lasEr;;;;;;;;;;;;;;;;;lasEre;;;;;;
1535;laisser;;lEsE;;;lEsEr;lEsa;lEs6rô;lEs6rE;;lEs6ra;;lEs6ra;;lEsE;lEsje;lEsE;lEsE;lEsE;lEse;;;;lEsô;lEse;lEs;lEsâ;;;;;lEs6rE;;lEsô;lEs;lEse;lEs;lEs;lEs;;lEse;lEse;lEse;;lEs;;lEs;lEs;lEs
1536;lamenter;;;;;;;;;;;;;;;;;;;;;;;;;;lamâtâ;;;;;;;;lamât;;;;;;;;;;;;;;
1537;lancer;;;;;;lâsa;;lâs6rE;;lâs6ra;;;;;;;lâsE;lâsE;lâse;;;;;lâse;lâs;lâsâ;;;;;;;lâsô;lâs;lâse;;lâs;lâs;lâse;;;lâse;;lâs;;lâs;;lâs
1538;languir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lâgirE;;;;;;;;;lâgi;;;;;;;
1539;laquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lake;;;;;;
1540;larguer;;;;;;;;;;;;;;;;;;;large;;;;;;;;;;;;;;;;;larg;;;;large;;large;;;;;;
1541;larmoyer;;;;;;;;;;;;;;;;;;larmwajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1542;lasser;;;;;;;;;;;;;;;;lasE;lasE;;lase;;;;;;las;;;;;;;;;las;;;las;las;;;;;;;;;;
1543;laver;;;;;lavEr;;;lav6rE;;;;lav6ra;;lavE;;;;;lave;lavas;;;;;lav;;;;;;;;lavô;lav;;;;lav;lave;lave;;lave;;;;;;lav
1544;lessiver;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lEsive;;;;;;;;
1545;leurrer;;;;;;;;;;;;;;;;;;l6rE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1546;lever;;l6vE;;;;l6va;;;;;;lEv6ra;;l6vE;l6vje;;;l6vE;l6ve;;;;;l6ve;lEv;l6vâ;;;;;;lEv6rE;l6vô;lEv;l6ve;;lEv;lEv;l6ve;l6ve;;l6ve;;lEv;;lEv;lEv;
1547;libérer;;;;;;libEra;;;;;;;;;;libErE;;;libEre;;;;;;libEr;libErâ;;;;;;;;libEr;;;;libEr;libEre;libEre;libEre;libEre;;libEr;;;;
1548;lier;;;;;;;;;;;;;;;;;;ljE;lje;;;;;;li;;;;;;;;;li;;;;li;;;lje;lje;;;;;;
1549;ligoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ligOte;ligOte;;;;;;
1550;liguer;;;;;;;;;;;;;;;;;;;lige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1551;limer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lime;;;;;;
1552;limiter;;;;;;;;;;;;;;;;;;;limite;;;;limitô;;limit;;;;;;;;;limit;;;;limit;;limite;;;;;;;;
1553;liquider;;;;;;;;;;;;;;;;;;;likide;;;;;;;likidâ;;;;;;;;;;;;;;;likide;;;;;;;
1554;liquéfier;;;;;;;;;;;;;;;;;;;likEfje;;;;;;;;;;;;;;;likEfi;;;;likEfi;;;;;;;;;;
1555;lire;;ly;;ly;;ly;;lirE;lire;lira;;lira;;lizE;lizje;lizE;;lizE;lir;;;;;lize;li;lizâ;;lirE;;;;lirE;;li;lize;li;liz;li;ly;ly;ly;ly;;liz;;liz;;liz
1556;lisser;;;;;;;;;;;;;;;;;;lisE;;;;;;;;;;;;;;;;;;;;;;lise;;;;;;;;
1557;livrer;;;;;livrEr;;;;;;livr6rô;;;;;;livrE;livrE;livre;;;;;;livr;;;;;;;livr6rE;;livr;;;livr;livr;livre;livre;livre;livre;;;;;;livr
1558;localiser;;;;;;;;;;;;;;;;;;;lOkalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1559;loger;;;;;;;;;;;;;;;;;;;lOZe;;;;;lOZe;;;;;;;;;;lOZ;;lOZ;;;lOZe;;lOZe;lOZe;;;;lOZ;;
1560;longer;;;;;;lôZa;;;;;;;;;;;;;lôZe;;;;;;lôZ;;;;;;;;;lôZ;;;;lôZ;;;;lôZe;;;;;;
1561;louanger;;;;;;;;;;;;;;;;;;;;;;;;;;luâZâ;;;;;;;;;;;;;;;;;;;;;;
1562;loucher;;;;;;;;;;;;;;;;;;luSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1563;louer;;;;;;;;lurE;;;;;;;;;;;lue;;;;luô;;;;;;;;;;;;;;lu;lu;;lue;;lue;;;;;;
1564;louper;;;;;;;;;;;;;;;;;;lupE;lupe;;;;;;;;;;;;;;;;;;;;;;;lupe;;;;;;
1565;louvoyer;;;;;;;;;;;;;;;;;;;;;;;;;;luvwajâ;;;;;;;;;;;;;;;;;;;;;;
1566;lover;;;;;;;;;;;;;;;;;;;lOve;;;;;;lOv;;;;;;;;;lOv;;;;lOv;;;;;;;;;;
1567;luire;;;;;;lHi;;;;;;;;;;;;;lHir;;;;;;lHi;;;;;;;;;;;lHi;;;;;;;;;;;;
1568;lutiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lytin;;;;;lytine;;;;;;
1569;lutter;;;;;;;;;;;;;;;;;;;lyte;;;;lytô;;lyt;lytâ;;;;;;;;lyt;lyte;;lyt;lyt;;;;;;;;;;
1570;lâcher;;;;;;;;;;;;;;;;;;laSE;laSe;;;;;laSe;laS;;;;;;;;;laS;laSe;laS;laS;laS;;;;laSe;;;;;;laS
1571;lécher;;;;;;;;;;;;;;;;;;;lESe;;;;;;lES;lESâ;;;;;;;;lES;;lES;;lES;lESe;lESe;;;;;;;;
1572;légaliser;;;;;;;;;;;;;;;;;;;lEgalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1573;léguer;;;;;;;;lEg6rE;;;;;;;;;;;;;;;;;lEg;;;;;;;;;lEg;;;;;lEge;;;;;;;;;
1574;lézarder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lEzard;;;;;;;;;;
1575;maculer;;;;;makylEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1576;macérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;masEr;;;;;masEre;;;;;;
1577;magner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;maJ;maJe;;;maJ;;;;;;;;;;
1578;magnifier;;;;;;;;;;;;;;;;;;maJifjE;;;;;;;;;;;;;;;;;;;;;;maJifje;;;;;;;;
