lexeme	NAME	GWEIGHT	fi1P	ii1P	ps1P	ps2P	ps2S	ai1P	fi1S	ii2S	inf	is3P	pI1P	pc1S	pi2P	pi2S	ppFS	ppMP	ps3P	fi2S	fi3S	pc3P	pi1S	ii1S	pI2P	pP	pi1P	pi3P	ai2P	ii2P	is1P	is1S	is2P	is2S	is3S	pI2S	pc3S	pi3S	ps3S	ai1S	ai2S	ai3P	ai3S	fi2P	fi3P	ii3P	ii3S	pc1P	pc2P	pc2S	ppFP	ppMS	ps1S
biter	biter	1.000000																										43.750000																								56.250000	
blinder	blinder	1.000000									7.142857						23.538961	10.227273			1.136364		3.409091		0.162338	1.136364		1.136364										3.409091													13.474026	35.227273	
blondir	blondir	1.000000									7.070707						46.969697	3.535354																				7.070707									10.101010					25.252525	
border	border	1.000000									6.340124					0.251774	19.203479	7.598993			0.068666		6.271458		0.457771	6.111238		7.255665								6.271458	0.389105	6.271458		0.160220		0.160220	0.457771			5.653468	4.692149		0.022889		8.812085	13.550011	
boudiner	boudiner	1.000000															9.090909	20.247934					14.049587			5.785124		2.892562										14.049587								2.892562	5.785124				2.892562	22.314050	
bouffir	bouffir	1.000000															23.860590	7.506702																																	4.021448	64.611260	
bourreler	bourreler	1.000000															17.073171	17.073171																																		65.853659	
boursoufler	boursoufler	1.000000									6.796117						22.330097	8.737864																				15.533981								4.530744	11.003236				4.530744	26.537217	
braiser	braiser	1.000000					2.777778				11.111111						38.888889																					19.444444														27.777778	
busquer	busquer	1.000000																																																		100.000000	
bâcher	bâcher	1.000000									1.923077						26.923077																					15.384615													26.923077	28.846154	
bémoliser	bémoliser	1.000000																																																		100.000000	
bénir	bénir	1.000000	0.059686	0.119372					0.042633		4.894270		0.144952	0.127899	1.551842	7.912688	6.539905	7.912688		0.008527	0.733288		7.912688	0.179059	1.551842	0.417804	0.144952	0.571282								7.912688	0.059686	2.140177	16.857094					0.025580	0.034106	0.230218	1.116985				1.014666	12.926330	16.857094
cabosser	cabosser	1.000000									6.168224						32.149533	7.289720																		1.495327		1.495327					1.308411				1.308411				11.028037	37.757009	
cadenasser	cadenasser	1.000000									10.328638						34.741784								1.877934	3.286385												3.755869								3.286385	6.572770				12.676056	23.474178	
cadmier	cadmier	1.000000																																																		100.000000	
caillouter	caillouter	1.000000																																																		100.000000	
calligraphier	calligraphier	1.000000									6.334842				0.452489		15.384615	21.266968						3.167421		9.049774		3.167421										6.334842									3.167421				3.619910	28.054299	
calotter	calotter	1.000000														20.588235		10.294118					13.235294	10.294118														13.235294													10.294118	22.058824	
caparaçonner	caparaçonner	1.000000															6.363636	37.272727																				6.363636									6.363636				6.363636	37.272727	
capeler	capeler	1.000000																																																		100.000000	
capitonner	capitonner	1.000000									12.099644						25.622776	22.419929																												2.491103	2.491103				5.338078	29.537367	
carboniser	carboniser	1.000000									11.936340						9.814324	28.116711								1.856764																	1.856764								14.323607	32.095491	
carreler	carreler	1.000000									6.936416						29.768786	7.803468								0.289017																					2.023121				5.780347	47.398844	
catastropher	catastropher	1.000000									10.204082						22.448980																								7.142857		7.142857				7.142857					45.918367	
caviarder	caviarder	1.000000																																																		100.000000	
cendrer	cendrer	1.000000																20.289855																												10.144928	20.289855				10.144928	39.130435	
chancir	chancir	1.000000																																																		100.000000	
chapeauter	chapeauter	1.000000									5.882353						21.323529	5.147059					13.235294															13.235294									5.882353				10.294118	25.000000	
chaumer	chaumer	1.000000																																																		100.000000	
chaîner	chaîner	1.000000																																																		100.000000	
chevronner	chevronner	1.000000															38.888889	5.555556																																		55.555556	
chromer	chromer	1.000000															26.464646	13.737374																				6.060606													4.040404	49.696970	
chérir	chérir	1.000000	0.028860						0.548341	0.779221	7.590188		1.096681	0.404040	0.692641	3.116883	36.998557	3.116883					3.116883	0.779221	0.692641	0.202020	1.096681	0.923521								3.116883		2.395382	0.375180				2.395382	0.028860		0.865801	3.751804				0.404040	25.483405	
cimenter	cimenter	1.000000									7.272727						32.363636	7.636364			2.545455					2.545455		0.363636								5.818182		5.818182								2.545455	7.272727				7.272727	18.545455	
cingler	cingler	1.000000		0.247088							3.106248		0.705965				15.566537	8.577480								2.188493		0.953053										5.224144				0.247088	2.223791			2.153194	6.212496				0.600071	51.994352	
cintrer	cintrer	1.000000									0.632911						9.493671	4.430380								4.430380															4.430380		43.037975				4.430380				4.430380	24.683544	
claquemurer	claquemurer	1.000000									4.827586					4.827586	23.448276	4.827586								9.655172																					9.655172				13.793103	28.965517	
clicher	clicher	1.000000									9.090909							30.681818																																		60.227273	
cochonner	cochonner	1.000000									5.405405				18.918919																																				18.918919	56.756757	
codifier	codifier	1.000000									8.333333						31.250000									7.291667																7.291667	7.291667				1.041667				8.333333	29.166667	
coloriser	coloriser	1.000000																																																		100.000000	
commissionner	commissionner	1.000000																																																		100.000000	
compasser	compasser	1.000000															14.583333	14.583333																																		70.833333	
concasser	concasser	1.000000									4.324324						15.135135	18.918919								7.567568		3.783784										3.783784									3.783784				11.351351	31.351351	
confire	confire	1.000000									0.606061						10.303030	25.454545																				24.242424													15.151515	24.242424	
congestionner	congestionner	1.000000															0.632911	21.518987										6.962025										5.063291								4.430380	12.658228					48.734177	
conjoindre	conjoindre	1.000000									5.263158							5.263158																																		89.473684	
consterner	consterner	1.000000															14.648438	9.960938								4.101562		1.367188										2.539062					9.570312				17.187500				2.734375	37.890625	
constiper	constiper	1.000000															8.235294	8.823529					11.764706													11.764706		11.764706														47.647059	
contingenter	contingenter	1.000000																																																		100.000000	
contre-indiquer	contre-indiquer	1.000000																																																		100.000000	
corroder	corroder	1.000000									4.827586						14.482759	11.724138										4.827586										5.517241									28.275862				8.965517	21.379310	
coter	coter	1.000000					1.189465				1.869159						2.378929	5.522515										0.764656							0.594732	6.372133		6.372133					1.784197				0.084962				3.398471	69.668649	
courroucer	courroucer	1.000000									0.607903						14.893617	6.079027																		4.863222		4.863222								2.127660	2.127660				2.127660	62.310030	
cribler	cribler	1.000000									2.705411						12.124248	8.717435					7.214429			7.414830		2.004008								7.214429		7.214429					0.801603			4.709419	2.004008				7.715431	30.160321	
crisper	crisper	1.000000									4.178562					0.363353	14.274591	8.746431					7.864002			2.128212		1.427459								7.864002		7.864002		0.363353		1.064106	6.125097			2.621334	8.279263				9.161692	17.674539	
crypter	crypter	1.000000									0.471698						10.849057	13.679245																		9.905660		9.905660													5.660377	49.528302	
crétiniser	crétiniser	1.000000									4.761905																																									95.238095	
cuirasser	cuirasser	1.000000									10.582011						14.285714	24.867725					7.407407					3.703704										7.407407								3.703704	3.703704				7.407407	16.931217	
culotter	culotter	1.000000					7.281553				3.398058						10.194175	19.902913																				21.359223													7.281553	30.582524	
cyanoser	cyanoser	1.000000															38.709677																																			61.290323	
cylindrer	cylindrer	1.000000					30.434783											30.434783																				8.695652														30.434783	
daguer	daguer	1.000000																																																		100.000000	
dessécher	dessécher	1.000000									4.722106				0.041789		21.395738	10.530715					6.644379	0.292520		1.420811		2.005850								6.644379	0.334308	6.644379				0.292520	0.083577		0.334308	2.047639	5.975763				6.351860	17.592980	6.644379
diamanter	diamanter	1.000000															33.333333																					33.333333														33.333333	
diplômer	diplômer	1.000000									3.501094						27.133479	12.691466																																	0.218818	56.455142	
disgracier	disgracier	1.000000									1.282051						19.230769	10.256410			8.974359																						8.974359			8.974359	8.974359					33.333333	
distordre	distordre	1.000000									11.267606						28.169014									9.859155												9.859155													9.859155	30.985915	
domicilier	domicilier	1.000000									12.389381						36.283186	17.699115																																		33.628319	
dorer	dorer	1.000000									7.008217						11.986467	16.239729			0.338328		6.959884	0.386660		1.691638		1.014983								6.959884		6.959884					0.338328		0.048333	0.338328	3.286612				4.978250	31.464476	
doter	doter	1.000000									8.524833						22.831727	12.008895					3.187546			1.556709												3.187546					1.037806			0.518903	5.040771				6.597480	35.507784	
douer	douer	1.000000									0.606244						33.525311	7.881176																																	1.182176	56.805092	
draper	draper	1.000000									3.171247						24.207188	3.594080				0.739958	7.188161			1.479915		2.642706								7.188161		7.188161		0.739958		0.739958	4.968288	1.479915		2.219873	7.188161				10.676533	14.587738	
débiliter	débiliter	1.000000															12.727273	12.727273								12.727273												12.727273								12.727273						36.363636	
déboiser	déboiser	1.000000									13.793103						34.482759																																		13.793103	37.931034	
débrailler	débrailler	1.000000															17.948718	17.948718																																	2.564103	61.538462	
débâter	débâter	1.000000																																																	50.000000	50.000000	
décaféiner	décaféiner	1.000000															7.692308																																			92.307692	
décalaminer	décalaminer	1.000000																																																		100.000000	
décharner	décharner	1.000000									10.989011						12.087912	14.835165										3.846154									3.846154	3.846154													26.373626	24.175824	
décimer	décimer	1.000000							0.118203		8.037825						14.539007	16.075650			0.118203		7.801418			0.118203		1.654846								7.801418	0.354610	7.801418				0.827423	0.472813		0.945626	1.654846	3.309693				8.156028	20.212766	
décliqueter	décliqueter	1.000000																																																		100.000000	
décoiffer	décoiffer	1.000000									7.858546				2.357564	3.732809	35.166994	3.536346			0.589391				2.357564											8.251473	1.375246	8.251473					1.375246				1.571709			1.375246	2.750491	19.449902	
décontenancer	décontenancer	1.000000									3.322259						24.252492	9.966777																									4.651163			4.651163	4.651163					48.504983	
décéder	décéder	1.000000									3.237095						32.545932	8.573928										0.262467										3.499563					0.349956				0.262467				0.787402	50.481190	
décérébrer	décérébrer	1.000000									3.448276						17.241379	31.034483																																		48.275862	
défiscaliser	défiscaliser	1.000000																																																		100.000000	
défroquer	défroquer	1.000000									3.389831						13.559322	23.728814																									11.864407									47.457627	
dégingander	dégingander	1.000000															2.702703																																			97.297297	
délabrer	délabrer	1.000000									4.761905						18.571429	13.809524					4.285714															4.285714													10.476190	43.809524	
délaver	délaver	1.000000									3.070175						8.771930	35.964912								3.070175		3.070175										3.070175									3.070175				6.140351	33.771930	
démantibuler	démantibuler	1.000000									11.111111						14.285714	17.989418					4.761905			3.703704		3.703704										4.761905													14.285714	25.396825	
déminer	déminer	1.000000									4.347826						30.434783									30.434783																										34.782609	
démoder	démoder	1.000000									2.702703						5.791506	16.216216								2.702703												10.038610								3.088803					6.563707	52.895753	
démunir	démunir	1.000000									6.578947						21.929825	26.754386								3.070175																									6.140351	35.526316	
dénantir	dénantir	1.000000																																																		100.000000	
dénerver	dénerver	1.000000																																																		100.000000	
déniveler	déniveler	1.000000																																																		100.000000	
dépayser	dépayser	1.000000									7.616708						17.444717	16.953317			0.245700		10.319410			3.685504												10.319410								8.353808	10.073710					14.987715	
dépeigner	dépeigner	1.000000															23.448276	13.793103								1.379310										9.655172		9.655172														42.068966	
déphaser	déphaser	1.000000															12.820513	2.564103																				2.564103														82.051282	
dépiter	dépiter	1.000000									7.812500						32.812500	10.937500																									15.625000				10.937500					21.875000	
déplomber	déplomber	1.000000																																																		100.000000	
déplâtrer	déplâtrer	1.000000																																																		100.000000	
dépolitiser	dépolitiser	1.000000																								41.176471																										58.823529	
dépraver	dépraver	1.000000									9.677419						20.967742	4.838710									1.612903																									62.903226	
désabuser	désabuser	1.000000									5.882353						14.285714	17.647059																																	5.882353	56.302521	
désaccorder	désaccorder	1.000000									8.641975						17.901235	22.222222										4.320988															4.320988			4.320988					4.320988	33.950617	
désappointer	désappointer	1.000000									9.803922						14.705882	13.725490																													6.862745					54.901961	
désarrimer	désarrimer	1.000000																							60.000000																											40.000000	
désaxer	désaxer	1.000000															14.062500	10.937500								12.500000												23.437500									10.937500					28.125000	
déshumaniser	déshumaniser	1.000000									4.000000						4.000000									12.000000		16.000000										4.000000													4.000000	56.000000	
désoler	désoler	1.000000									0.301451					0.028261	31.903536	0.957734			0.006280		1.055078	0.084783	0.031401	0.078503		0.003140							0.021981	1.055078	0.009420	1.055078		0.043962			0.084783		0.021981	0.021981	0.389374				0.197827	62.648370	
désorienter	désorienter	1.000000									6.310680						19.902913	7.766990								5.097087		1.699029									1.699029	11.650485					3.398058			1.699029	8.252427				1.699029	30.825243	
déstocker	déstocker	1.000000																																																		100.000000	
désynchroniser	désynchroniser	1.000000																																																		100.000000	
déviriliser	déviriliser	1.000000																								50.000000																										50.000000	
effarer	effarer	1.000000									0.873362						20.960699	12.663755					9.170306			6.113537												9.170306				3.056769	3.056769			3.056769	6.113537					25.764192	
efféminer	efféminer	1.000000															3.125000	31.250000																													21.875000					43.750000	
embrigader	embrigader	1.000000															34.782609																																			65.217391	
emmoufler	emmoufler	1.000000																																																		100.000000	
emplumer	emplumer	1.000000															2.702703																					18.918919					18.918919								18.918919	40.540541	
empoissonner	empoissonner	1.000000									6.250000																																								43.750000	50.000000	
empoussiérer	empoussiérer	1.000000															12.068966	12.068966										12.068966										13.793103									24.137931					25.862069	
empreindre	empreindre	1.000000																31.607629																				33.242507					1.907357									33.242507	
encasteler	encasteler	1.000000																																																		100.000000	
encastrer	encastrer	1.000000									8.710801						21.951220	14.808362					5.749129			1.393728		0.174216										5.749129					4.703833			2.439024	3.484321				6.271777	24.564460	
enchemiser	enchemiser	1.000000																																																		100.000000	
enchifrener	enchifrener	1.000000																																																		100.000000	
enchâsser	enchâsser	1.000000									7.070707						24.747475	21.212121								7.575758												3.535354								3.535354	3.535354					28.787879	
encoder	encoder	1.000000									5.405405						4.504505	4.504505					2.702703															2.702703														80.180180	
enfiévrer	enfiévrer	1.000000															19.178082	5.479452										4.794521										13.698630					4.794521			9.589041	18.493151				4.794521	19.178082	
englacer	englacer	1.000000																																																		100.000000	
engoncer	engoncer	1.000000															17.370892	20.657277								1.643192												3.755869								3.286385	3.286385				9.624413	40.375587	
engouer	engouer	1.000000															14.285714	14.285714																						14.285714							28.571429					28.571429	
enrouer	enrouer	1.000000									3.030303						30.303030	10.389610																				14.718615					6.060606			6.060606	8.658009				3.030303	17.748918	
enrubanner	enrubanner	1.000000									8.527132						26.356589	10.852713																												10.852713	10.852713				10.852713	21.705426	
ensanglanter	ensanglanter	1.000000									2.064897						15.929204	11.799410								4.129794												8.259587				2.064897	4.129794			2.064897					10.324484	39.233038	
entourer	entourer	1.000000		0.270068							3.528127		0.045969		0.293053	0.068954	9.825892	4.832500			0.195369	0.045969	7.153939	0.310291	0.293053	4.125725	0.045969	6.337988							0.080446	7.153939	0.040223	7.153939	7.153939	0.114923		0.833190	2.539792		0.103430	7.728553	8.619204				1.769810	19.335747	
entrapercevoir	entrapercevoir	1.000000									3.703704							25.925926																																	25.925926	44.444444	
enténébrer	enténébrer	1.000000									5.533597						21.343874	7.905138								13.438735		2.766798										11.067194					2.766798				7.905138				5.533597	21.739130	
entôler	entôler	1.000000									4.347826						30.434783																																			65.217391	
envaser	envaser	1.000000									2.380952						16.666667																														16.666667				16.666667	47.619048	
essaimer	essaimer	1.000000																7.070707										15.151515																		8.080808	14.141414				7.070707	48.484848	
essoriller	essoriller	1.000000																																																		100.000000	
estomaquer	estomaquer	1.000000									5.109489						8.394161	5.474453					10.948905			2.554745												10.948905									2.554745					54.014599	
excéder	excéder	1.000000									4.118774						18.390805	2.107280			0.095785			0.670498		5.555556		2.394636							0.670498			4.214559								5.172414	4.118774				0.670498	51.819923	
exproprier	exproprier	1.000000									7.142857						17.857143	1.785714																			12.500000	14.285714					1.785714								12.500000	32.142857	
expurger	expurger	1.000000									14.583333						38.541667	14.583333			7.291667																										14.583333					10.416667	
