;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
829;couver;;;;;;;;;;;;;;;;;;kuvè;kuve;;;;;;;;kuv;;;;;;;;;kuv;;;;kuv;;;;;;kuv;
830;couvrir;;;;;kuvrir;kuvri;;;kuvrire;kuvrira;;kuvrira;;kuvrè;;kuvrè;kuvrè;kuvrè;kuvrir;;;;;;;kuvre;kuvr;kuvrâ;;kuvrirè;;kuvrirè;kuvrirè;kuvrirè;;kuvr;kuvre;kuvr;kuvr;kuvr;;;;;kuvr;;
831;coïncider;;;;;;kòêsida;;;;;;;;;;;;kòêsidè;kòêside;;;;;kòêsida;;;kòêsid;kòêsidâ;;;;;;;;;;;kòêsid;kòêsid;;;;;;;
832;coûter;;;;;;kuta;;kut6rè;;;kut6rô;kut6ra;;kutè;;;kutè;kutè;kute;;;;;;;;kut;;;;;;;kut6rè;;kut;;;kut;kut;;;;;;;
833;cracher;;kraSè;;;kraSEr;kraSa;;;;;;;;kraSè;;kraSè;kraSè;kraSè;kraSe;;;;;;;kraSe;kraS;kraSâ;;kraS6rè;;;;;kraSô;kraS;kraSe;kraS;kraS;kraS;;;;;kraS;;
834;crachiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kraSin;;;;;;;
835;crachoter;;;;;;;;;;;;;;;;;;;kraSòte;;;;;;;;;kraSòtâ;;;;;;;;;;;kraSOt;kraSOt;;;;;;;
836;craindre;;krèJi;;;;krèJi;;krêdrè;;;;;;krèJè;krèJe;krèJè;krèJè;krèJè;krêdr;;;;;;krèJô;krèJe;krê;krèJâ;;krêdrè;;;;;krèJô;krê;krèJe;krê;krEJ;krê;;;krEJ;;;;krEJ
837;cramer;;;;;;;;;;;;;;;;;;kramè;krame;;;;;;;;kram;;;;;;;;;kram;;;;kram;;;;;;;
838;cramponner;;;;;;krâpòna;;;;;;;;;krâpònje;;;krâpònè;krâpòne;;;;;;;;krâpòn;krâpònâ;;;;;;;krâpònô;krâpòn;krâpòne;;;krâpòn;;;;;;;
839;crapahuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krapayt;;;;;;;
840;craqueler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krakEl;;;;;;;
841;craquer;;;;;krakEr;kraka;;;;krak6ra;;krak6ra;;krakè;;;krakè;krakè;krake;;;;;;;krake;krak;krakâ;;;;;;krak6rè;;krak;;krak;krak;krak;;;;;;;
842;craqueter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krakEt;;;;;;;
843;cravacher;;;;;;;;;;;;;;;;;;;;;;;;;;;;kravaSâ;;;;;;;;;;;;kravaS;;;;;;;
844;cravater;;;;;;;;;;;;;;;;;;;kravate;;;;;;;;;;;;;;;;;;;;;kravat;;;;;;;
845;creuser;;;;;;kr6za;;;;;;kr6z6ra;;kr6zè;;kr6zè;kr6zè;kr6zè;kr6ze;;;;;;kr6zô;kr6ze;kr2z;kr6zâ;;;;;;kr6z6rè;;kr2z;kr6ze;kr2z;kr2z;kr2z;;;;;;;kr2z
846;crever;;;;;kr6vEr;;;;krèv6re;krèv6ra;krèv6rô;krèv6ra;;;;kr6vè;kr6vè;kr6vè;kr6ve;;;;;;;kr6ve;krEv;kr6vâ;;krèv6rè;;;;krèv6rè;;krEv;;krEv;krEv;krEv;;;;;;;krEv
847;criailler;;;;;;;;;;;;;;;;;;;kriaje;;;;;;;;;;;;;;;;;;;;kriaj;;;;;;;;
848;cribler;;;;;;;;;;;;;;;;;kriblè;;;;;;;;;;kribl;kriblâ;;;;;;;;kribl;;;kribl;kribl;;;;;;;
849;crier;;krjè;;;kriEr;krja;;krirè;;krira;krirô;krira;;kriè;;kriè;kriè;kriè;krie;;;;;kria;kriô;krie;kri;kriâ;;krirè;;;krirè;krirè;kriô;kri;krie;kri;kri;kri;;;;;kri;;
850;crisper;;;;;;krispa;;;;;;;;;;;krispè;krispè;krispe;;;;;;;;krisp;krispâ;;;;;;;;krisp;;;;krisp;;;;;;;
851;crisser;;;;;;;;;;;;;;;;;krisè;krisè;krise;;;;;;;;kris;krisâ;;;;;;;;kris;;;kris;kris;;;;;;;
852;cristalliser;;;;;kristalizEr;;;;;;;;;;;;;kristalizè;kristalize;;;;;;;;;;;;;;;;;;;;kristaliz;kristaliz;;;;;;;
853;critiquer;;;;;;kritika;;;;;;;;;;kritikè;;kritikè;kritike;;;;;;;kritike;kritik;;;;;;;;;kritik;kritike;kritik;;kritik;;;;;;;
854;crocheter;;;;;;;;;;;;;;;;;;kròS6tè;kròS6te;;;;;;;;;kròS6tâ;;;;;;;;;;;kròSEt;;;;;;;;
855;croire;krym;kry;;kry;kryr;kry;krwarô;krwarè;krware;krwara;krwarô;krwara;krwajô;krwajè;krwaje;krwajè;krwajè;krwajè;krwar;;;;;;krwajô;krwaje;krwa;krwajâ;krwarjô;krwarè;krwarje;krwarè;;krwarè;krwajô;krwa;krwaje;krwa;krwa;krwa;;;krwa;krwaje;krwa;;krwa
856;croiser;krwazam;krwazè;;;;krwaza;;;;;krwaz6rô;krwaz6ra;krwazjô;krwazè;;krwazè;krwazè;krwazè;krwaze;;;;;;krwazô;krwaze;krwaz;krwazâ;;;;;;;krwazô;krwaz;krwaze;krwaz;krwaz;krwaz;;;;;;;
857;croquer;;;;;;kròka;;kròk6rè;;;;;;;;;;kròkè;kròke;;;;;;;;;kròkâ;;;;;;kròk6rè;;krOk;;krOk;krOk;krOk;;;;;;;
858;crouler;;;;;krulEr;;;;;;;;;;;;krulè;krulè;krule;;;;;;;;krul;krulâ;;;;;;;;krul;;;krul;krul;;;;;;;
859;croupir;;;;;;krupi;;;;;;;;;;krupisè;krupisè;;krupir;;;;;;;;;krupisâ;;;;;;;;;;;krupis;krupi;;;;;;;
860;croître;;;;;;kry;;;;;;;;;;;;;krwatr;;;;;;;;;krwasâ;;;;;;;;;;;krwas;krwa;;;;;;;
861;crucifier;;;;;;;;;;;;;;;;;;krysifjè;krysifje;;;;;;;krysifje;krysifi;;;;;;;;;;krysifje;;;;;;;;;;
862;crâner;;;;;;;;;;;;;;kranè;;;;kranè;;;;;;;;;kran;;;;;;;;;kran;;;;kran;;;;;;;
863;crécher;;;;;;;;;;;;;;;;;;;krèSe;;;;;;;;;;;;;;;;;krES;;;krES;krES;;;;;;;
864;créditer;;;;;;;;;;;;;;;;;;;krèdite;;;;;;;;;;;;;;;;;;;;;krèdit;;;;;;;
865;créer;;;;;krèEr;krèa;;krèrè;;;;;;;;krèè;krèè;krèè;krèe;;;;;;krèô;krèe;kre;krèâ;;krèrè;;;krèrè;krèrè;;kre;krèe;;kre;kre;;;;;;;kre
866;crépiter;;;;;;krèpita;;;;;;;;;;;krèpitè;krèpitè;krèpite;;;;;;;;krèpit;krèpitâ;;;;;;;;;;;krèpit;;;;;;;;
867;crêper;;;;;;;;;;;;;;;;;;;;;;;;;;;krEp;;;;;;;;;;;;;;;;;;;;
868;cuber;;;;;;;;;;;;;;;;;;;;;kybas;;;;;;;;;;;;;;;;;;;;;;;;;;
869;cueillir;;k6ji;;;;k6ji;;;;k6j6ra;;;;k6jè;;k6jè;;k6jè;k6jir;;;;;;k6jô;k6je;k9j;k6jâ;;;;;;;;k9j;k6je;;k9j;k9j;;;;;;;
870;cuirasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHiras;kHiras;;;;;;;
871;cuire;;;;;;;;;;;;;;;kHizje;;;kHizè;kHir;;;;;;;;kHi;;;;;;;kHirè;;kHi;;;kHiz;kHi;;;kHiz;;;;
872;cuisiner;;;;;;kHizina;;;;;;;;;;;;kHizinè;kHizine;;;;;;kHizinô;kHizine;kHizin;;;;;;;kHizin6rè;;kHizin;kHizine;kHizin;kHizin;kHizin;;;;;;;kHizin
873;culbuter;;;;;kylbytEr;kylbyta;;;;;;;;;;;kylbytè;kylbytè;kylbyte;;;;;;;;kylbyt;;;;;;;;;kylbyt;;;kylbyt;kylbyt;;;;;;;
874;culminer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kylmin;;;;;;;
875;culotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kylOt;;;;;kylOt;;
876;culpabiliser;;;;;;;;;;;;;;;;;;;kylpabilize;;;;;;;;kylpabiliz;;;;;;;;;kylpabiliz;;;;kylpabiliz;;;;;;;
877;cultiver;;;;;;kyltiva;;kyltiv6rè;;;;;kyltivjô;kyltivè;;;kyltivè;kyltivè;kyltive;;;;;;;kyltive;kyltiv;kyltivâ;;;;;;;;kyltiv;kyltive;;kyltiv;kyltiv;;;;;;;
878;cumuler;;;;;;;;;;;;;;;kymylje;;;;;;;;;;;;;kymylâ;;;;;;;;;;;;;;;;;;;
879;curer;;;;;;;;;;;;;;;;;;kyrè;kyre;;;;;;;;;kyrâ;;;;;;;;kyr;;;;kyr;;;;;;;
880;cuver;;;;;;;;;;;;;;;;;;;kyve;;;;;;;;;;;;;;;;;kyv;;;;;;;;;;;
881;câbler;;;;;;kabla;;;;;;;;;;;;;kable;;;;;;;;;;;;;;;;;;;;;;;;;;;;
882;câliner;;;;;;;;;;;;;;;;;;;kaline;;;;;;;;;;;;;;;;;;;;;;;;;;;;
883;céder;;;;;sèdEr;sèda;;sèd6rè;;;;sèd6ra;sèdjô;sèdè;;sèdè;sèdè;sèdè;sède;;;;;;sèdô;sède;sEd;sèdâ;;;;;;sèd6rè;sèdô;sEd;sède;;sEd;sEd;;;;;;;
884;célébrer;;;;;;sèlèbra;;;;;sèlèbr6rô;;sèlèbrjô;;sèlèbrje;;sèlèbrè;sèlèbrè;sèlèbre;;;;;;sèlèbrô;;sèlEbr;sèlèbrâ;;;;;;;sèlèbrô;sèlEbr;;;sèlEbr;sèlEbr;;;;;;;sèlEbr
885;côtoyer;;;;;;kòtwaja;;;;;;;;kòtwajè;;;kòtwajè;kòtwajè;;;;;;;;;;;;;;;;;;kòtwa;;;;kòtwa;;;;;;;
886;daigner;;;;;;dèJa;;;;;;;;;;;;dèJè;;;;;;dèJa;;dèJe;dEJ;;;;;;dèJ6rè;;;dEJ;dèJe;;;dEJ;;;;;;;
887;daller;;;;;;;;;;;;;;;;;;;dale;;;;;;;;;;;;;;;;;;;;;dal;;;;;;;
888;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;dam;;dam;dam;dam;;;;;dam;;
889;damner;;;;;;;;;;;;dan6ra;;;;;;;dane;;;;;;;;;;;;;;;;;dan;;;;dan;;;;;;;
890;dandiner;;;;;;;;;;;;;;;;;dâdinè;dâdinè;dâdine;;;;;;;;dâdin;dâdinâ;;;;;;;;dâdin;;;;dâdin;;;;;;;
891;danser;;;;;dâsEr;dâsa;dâs6rô;dâs6rè;;dâs6ra;dâs6rô;dâs6ra;dâsjô;dâsè;;dâsè;dâsè;dâsè;dâse;;;;;;dâsô;dâse;dâs;dâsâ;;;;dâs6rè;;;dâsô;dâs;dâse;dâs;dâs;dâs;;;;;dâs;;dâs
892;darder;;;;;;;;;;;;;;;;;dardè;;;;;;;;;;;dardâ;;;;;;;;dard;;;;dard;;;;;;;
893;dater;;;;;;;;;;;;;;;;;datè;datè;date;;;;;;;;dat;datâ;;;;;;dat6rè;;dat;;dat;dat;dat;;;;;;;
894;demander;;d6mâdè;;;d6mâdEr;d6mâda;d6mâd6rô;d6mâd6rè;d6mâd6re;d6mâd6ra;d6mâd6rô;d6mâd6ra;d6mâdjô;d6mâdè;d6mâdje;d6mâdè;d6mâdè;d6mâdè;d6mâde;;;;;d6mâda;d6mâdô;d6mâde;d6mâd;d6mâdâ;;d6mâd6rè;d6mâd6rje;d6mâd6rè;;d6mâd6rè;d6mâdô;d6mâd;d6mâde;d6mâd;d6mâd;d6mâd;;;d6mâd;;d6mâd;d6mâd;d6mâd
895;demeurer;;d6m6rè;;;d6m6rEr;d6m6ra;;;d6m6r6re;;;;d6m6rjô;d6m6rè;d6m6rje;;d6m6rè;d6m6rè;d6m6re;;;;d6m6ras;d6m6ra;d6m6rô;d6m6re;d6m9r;d6m6râ;;;;;;d6m6r6rè;d6m6rô;d6m9r;;;d6m9r;d6m9r;;;;;;;
896;desceller;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèsèlâ;;;;;;;;;;;;;;;;;;;
897;descendre;dèsâdim;dèsâdi;;;dèsâdir;dèsâdi;dèsâdrô;dèsâdrè;dèsâdre;dèsâdra;dèsâdrô;dèsâdra;dèsâdjô;dèsâdè;;dèsâdè;dèsâdè;dèsâdè;dèsâdr;;;;;;dèsâdô;dèsâde;dèsâ;dèsâdâ;;dèsâdrè;;dèsâdrè;;dèsâdrè;dèsâdô;dèsâ;dèsâde;dèsâ;dèsâd;dèsâ;;;dèsâd;;dèsâd;dèsâd;dèsâd
898;dessaler;;;;;;;;;;;;;;;;;;;dèsale;;;;;;;;;;;;;;;;;;;;;dèsal;;;;;;;
899;dessaouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèsul;;;;dèsul;;;;;;;
900;desseller;;;;;;;;;;;;;;;;;;;;;;;;;;dèsèle;;;;;;;;;;;;;;;;;;;;;
901;desserrer;;;;;;dèsèra;;;;;;;;;;;;;dèsère;;;;;;;dèsère;dèsEr;dèsèrâ;;;;;;;;dèsEr;;;;;;;;;;;
902;desservir;;;;;;dèsErvi;;;;;;;;;;;;dèsErvè;dèsErvir;;;;;;;;;dèsErvâ;;;;;;;;;;;;dèsEr;;;;;;;
903;dessiner;;dèsinè;;;dèsinEr;dèsina;;;;;;;dèsinjô;dèsinè;;dèsinè;dèsinè;dèsinè;dèsine;;;;;;;;dèsin;dèsinâ;;;;;;dèsin6rè;;dèsin;dèsine;dèsin;dèsin;dèsin;;;;;;;
904;dessoûler;;;;;;;;;;;;;;;;;;;dèsule;;;;;;;;dèsul;;;;;;;;;;;dèsul;;dèsul;;;;;;;
905;dessécher;;;;;;;;;;;dèsèS6rô;;;;;;;dèsèSè;dèsèSe;;;;;;;;dèsES;;;;;;;;;dèsES;;;;dèsES;;;dèsES;;;;
906;destiner;;;;;;;;;;;;;;;;;;dEstinè;;;;;;;;;;dEstinâ;;;;;;;;dEstin;dEstine;;;dEstin;;;;;;;
907;destituer;;;;;;;;;;;dEstityrô;;;;;;;;dEstitye;;;;;;;;;;;;;;;;;;;;;;;;;;;;
908;devancer;;;;;;d6vâsa;;;;;;;;;;;;;d6vâse;;;;;;;;d6vâs;d6vâsâ;;;;;;;;d6vâs;;;;d6vâs;;;;;;;
909;devenir;;;;;d6vêr;d6vê;d6vjêdrô;d6vjêdrè;d6vjêdre;d6vjêdra;d6vjêdrô;d6vjêdra;d6v6njô;d6v6nè;;d6v6nè;d6v6nè;d6v6nè;d6v6nir;;d6vês;;;d6vê;d6v6nô;d6v6ne;d6vjê;d6v6nâ;d6vjêdriô;d6vjêdrè;;d6vjêdrè;d6vjêdrè;d6vjêdrè;d6v6nô;d6vjê;d6v6ne;d6vjê;d6vjEn;d6vjê;;;d6vjEn;;d6vjEn;;d6vjEn
910;deviner;;d6vinè;;;d6vinEr;d6vina;;;d6vin6re;d6vin6ra;;d6vin6ra;d6vinjô;d6vinè;;d6vinè;d6vinè;d6vinè;d6vine;;;;;d6vina;;d6vine;d6vin;d6vinâ;;;d6vin6rje;;;;;d6vin;d6vine;d6vin;d6vin;d6vin;;;;;d6vin;;
911;deviser;;;;;d6vizEr;;;;;;;;;;;;;d6vizè;d6vize;;;;;;;;;d6vizâ;;;;;;;;;;;d6viz;;;;;;;;
912;devoir;dym;dy;;;dyr;dy;d6vrô;d6vrè;d6vre;d6vra;d6vrô;d6vra;d6vjô;d6vè;d6vje;d6vè;d6vè;d6vè;d6vwar;;dys;;;dy;d6vô;d6ve;dwa;d6vâ;d6vriô;d6vrè;d6vrie;d6vrè;d6vrè;d6vrè;d6vô;dwa;d6ve;dwa;dwav;dwa;;;dwav;d6vje;dwav;dwav;dwav
913;diagnostiquer;;;;;;djagnòstika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djagnòstik;;;;;;;;;;;
914;dialoguer;;;;;;;;;;;;;;;;;;;djalòge;;;;;;;;;;;;;;;;;;;;;;;;;;;;
915;diamanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djamât;;;;;;;
916;dicter;;;;;;dikta;;dikt6rè;;;;;;;;;diktè;diktè;dikte;;;;;dikta;;;dikt;diktâ;;;;;;;;dikt;;dikt;dikt;dikt;;;;;;;
917;diffamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;difam;;;;;;;
918;diffuser;;;;;difyzEr;;;;;;;;;;;;difyzè;difyzè;difyze;;;;;;;difyze;difyz;difyzâ;;;;;;;;difyz;;;difyz;difyz;;;;;;;difyz
919;différencier;;;;;;;;;;;;;;difèrâsjè;;;;difèrâsjè;difèrâsje;;;;;;;;;;;;;;;;;;;;difèrâsi;difèrâsi;;;;;;;
920;différer;;;;;;;;;;;;;;;;;difèrè;difèrè;difère;;;;;;;;;difèrâ;;;;;;;;difEr;difère;;difEr;difEr;;;;;;;
921;digérer;;;;;;;;;;;;;;;;;;diZèrè;diZère;;;;;;;;diZEr;;;;;;;;;diZEr;;;;diZEr;;;;;;;
922;dilapider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dilapid;;;;;;;
923;dilater;;;;;;;;;;;;;;;;;;dilatè;dilate;;;;;;;;dilat;dilatâ;;;;;;;;dilat;;;dilat;dilat;;;;;;;
924;diluer;;;;;;;;;;;;;;;;;;;;;;;;;;;dily;dilyâ;;;;;;;;;;;;dily;;;;;;;
925;diminuer;;;;;;diminya;;;;;;;;;;;diminyè;diminyè;diminye;;;;;;;;diminy;diminyâ;;;;;;;;diminy;;;diminy;diminy;;;;;;;
926;dinguer;;;;;;;;;;;;;;;;;;;dêge;;;;;;;;;;;;;;;;;;;;;dêg;;;;;;;
927;dire;dim;di;dit;;dir;di;dirô;dirè;dire;dira;dirô;dira;dizjô;dizè;dizje;dizè;dizè;dizè;dir;;;;;;dizô;dit;di;dizâ;dirjô;dirè;dirje;dirè;dirè;dirè;dizô;di;dit;di;diz;di;;;diz;dizje;diz;diz;diz
928;diriger;diriZam;diriZè;;;;diriZa;;diriZ6rè;diriZ6re;diriZ6ra;;diriZ6ra;;diriZè;diriZje;;diriZè;diriZè;diriZe;;;;;;diriZô;diriZe;diriZ;diriZâ;;;;;;;diriZô;diriZ;diriZe;diriZ;diriZ;diriZ;;;;;;;diriZ
929;discerner;;;;;;;;;;;;;disErnjô;disErnè;;;disErnè;disErnè;disErne;;;;;;;;;disErnâ;;;;;;;;disErn;;disErn;disErn;disErn;;;;;;;
930;discipliner;;;;;;;;;;;;;;;;;;;disipline;;;;;;;;;;;;;;;;;;;;;;;;;;;;
931;discontinuer;;;;;;;;;;;;;;;;;;;diskôtinye;;;;;;;;;;;;;;;;;;;;;;;;;;;;
932;disconvenir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diskôvjê;;;;;;;;;;;
933;discourir;;;;;;;;;;;;;;;;;;diskurè;diskurir;;;;;;;;;diskurâ;;;;;;;;;;;;diskur;;;;;;;diskur
934;discréditer;;;;;;;;;;;;;;;;;;;diskrèdite;;;;;;;;;;;;;;;;;;;;;;;;;;;;
935;disculper;;;;;;;;;;;;;;;;;;;diskylpe;;;;;;;diskylpe;;;;;;;;;;diskylp;;;;;;;;;;;diskylp
936;discutailler;;;;;;;;;;;;;;;;;;;diskytaje;;;;;;;;;;;;;;;;;;;;;diskytaj;;;;;;;
937;discuter;diskytam;diskytè;;;diskytEr;;diskyt6rô;diskyt6rè;;;;diskyt6ra;diskytjô;;;;diskytè;diskytè;diskyte;;;;;;diskytô;diskyte;diskyt;diskytâ;;;;;;;diskytô;diskyt;diskyte;diskyt;diskyt;diskyt;;diskytjô;;;;;diskyt
938;disgracier;;;;;;disgrasja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
939;disjoindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;disZwê;;;;;;;
940;disloquer;;;;;dislòkEr;;;;;;;;;;;;;dislòkè;dislòke;;;;;;;;dislOk;;;;;;;;;;;;dislOk;dislOk;;;;;;;
941;disparaître;;dispary;;;disparyr;dispary;disparètrô;disparètrè;;;disparètrô;disparètra;disparèsjô;disparèsè;disparèsje;;disparèsè;disparèsè;disparEtr;;;;;dispary;;disparèse;disparè;disparèsâ;;;;;disparètrè;disparètrè;disparèsô;disparè;disparèse;disparè;disparEs;disparè;;;disparEs;;;;disparEs
942;dispenser;;;;;;dispâsa;;;;;;;;;;;;dispâsè;dispâse;;;;;dispâsa;;;dispâs;dispâsâ;;;;;;;;dispâs;;;dispâs;dispâs;;;;;;;
943;disperser;;;;;dispErsEr;;;;;;;;;;;;dispErsè;dispErsè;dispErse;;;;;;dispErsô;dispErse;dispErs;dispErsâ;;;;;;dispErs6rè;dispErsô;dispErs;dispErse;;;dispErs;;;;;;;
944;disposer;;;;dispòza;;dispòza;dispòz6rô;dispòz6rè;;;dispòz6rô;dispòz6ra;dispòzjô;dispòzè;;dispòzè;dispòzè;dispòzè;dispòze;;;;;;dispòzô;dispòze;dispoz;dispòzâ;;;;;;dispòz6rè;dispòzô;dispoz;dispòze;dispoz;dispoz;dispoz;;;;;;;
945;disputer;;;;;dispytEr;;;;;;dispyt6rô;dispyt6ra;;;;;dispytè;dispytè;dispyte;;;;;dispyta;dispytô;dispyte;dispyt;dispytâ;;;;;;;dispytô;dispyt;dispyte;dispyt;dispyt;dispyt;;;;;;;dispyt
946;disqualifier;;;;;;;;;;;;;;;;;;;diskalifje;;;;;;;;;;;;;;;;;diskalifi;;;;;;;;;;;
947;disserter;;;;;;;;;;;;;;;;;;disErtè;;;;;;;;;disErt;;;;;;;;;;;;disErt;;;;;;;;
948;dissimuler;;;;;;disimyla;;;;;;;;disimylè;disimylje;disimylè;disimylè;disimylè;disimyle;;;;;disimyla;disimylô;;disimyl;disimylâ;;;;;;;;disimyl;disimyle;;disimyl;disimyl;;;;;;;
949;dissiper;;;;;;disipa;;;;;;;;;;;disipè;disipè;disipe;;;;;;;;disip;disipâ;;;;;;;;disip;;;;disip;;;;;;;
950;dissocier;;;;;;;;;;;;;;;;;;;disòsje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
951;dissoudre;;;;;;;;;;;;;;;;;disOlvè;disOlvè;disudr;;;;;;;;disu;disOlvâ;;;;;;;;disu;;disu;;disu;;;;;;;disOlv
952;dissuader;;;;;;disyada;;;;;;;;;;;;disyadè;disyade;;;;;;;;disyad;;;;;;;;;;;;disyad;disyad;;;;;;;
953;disséminer;;;;;;;;;;;;;;;;;;;disèmine;;;;;;;;;;;;;;;;;;;;;;;;;;;;
954;disséquer;;;;;;;;;;;;;;;disèkje;;;disèkè;disèke;;;;;;;;disEk;;;;;;;;;disEk;;;;;;;;;;;
955;distendre;;;;;;distâdi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;distâ;;;;;;;
956;distiller;;;;;;;;;;;;;;;;;;distilè;distile;;;;;;;;;distilâ;;;;;;;;distil;;;distil;distil;;;;;;;
957;distinguer;;distêgè;;;;distêga;;;;;;;distêgjô;distêgè;;;distêgè;distêgè;distêge;;;;;;distêgô;;distêg;distêgâ;;;;;;;distêgô;distêg;;distêg;distêg;distêg;;;;;;;
958;distordre;;;;;;;;;;;;;;;;;;;;;;;;;;;;distOrdâ;;;;;;;;;;;;;;;;;;;
959;distraire;;;;;;;;;;;;;;;;;distrèjè;distrèjè;distrEr;;;;;;distrèjô;;distrè;;;;;;;distrèrè;;;;distrè;;distrè;;;distrè;;;distrè;
960;distribuer;;;;;;distribya;;distribyrè;;;;;;;;distribyè;distribyè;distribyè;distribye;;;;;;distribyô;distribye;distriby;distribyâ;;;;;;;distribyô;distriby;;distriby;distriby;distriby;;;;;;;
961;divaguer;;;;;;;;;;;;;;;;;divagè;divagè;;;;;;;;;divag;divagâ;;;;;;;;divag;divage;;divag;divag;;;;;;;
962;diverger;;;;;;;;;;;;;;;;;divErZè;;divErZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
963;diversifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;divErsifi;;;;;;;;
964;divertir;;divErti;;;;divErti;;;;;;;;;;;;;divErtir;;;;;;;;divErti;;;;;;;;;divErti;;divErti;;divErti;;;;;;;
965;diviser;;;;;divizEr;diviza;;;;;;;;divizè;;;divizè;divizè;divize;;;;;;;divize;diviz;divizâ;;;;;;;;diviz;divize;diviz;;diviz;;;;;;;
966;divorcer;;;;;divOrsEr;divOrsa;;divOrs6rè;;;;;;;;;;divOrsè;divOrse;;;;;;;divOrse;divOrs;;;;;divOrs6rè;;;divOrsô;divOrs;divOrse;divOrs;divOrs;divOrs;;;;;;;
967;divulguer;;;;;;;;;;;;;;;;;;;divylge;;;;;;divylgô;;;;;;;;;;;;divylge;;;divylg;;;;;;;
968;diéser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djEz;;;;;;;
969;documenter;;;;;;;;;;;;;;;;;;dòkymâtè;dòkymâte;;;;;;;;;;;;;;;;;;;;;dòkymât;;;;;;;
970;dodeliner;;;;;;;;;;;;;;;;;;;dòd6line;;;;;;;;;dòd6linâ;;;;;;;;;;;;;;;;;;;
971;domestiquer;;;;;;;;;;;;;;;;;;;dòmEstike;;;;;;;;;;;;;;;;;;;;;dòmEstik;;;;;;;dòmEstik
972;domicilier;;;;;;;;;;;;;;;;;;;dòmisilje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
973;dominer;;;;;;dòmina;dòmin6rô;;;;dòmin6rô;dòmin6ra;;;;;dòminè;dòminè;dòmine;;;;;;dòminô;;dòmin;dòminâ;;;;dòmin6rè;;;;dòmin;;dòmin;dòmin;dòmin;;;;;;;
974;dompter;;;;;;dôta;;;;;;;;;;;;;dôte;;;;;;;;dôpt;;;;;;;;;dôpt;;;dôpt;dôpt;;;;;;;
975;donner;;dònè;;;dònEr;dòna;dòn6rô;dòn6rè;dòn6re;dòn6ra;dòn6rô;dòn6ra;dònjô;dònè;dònje;dònè;dònè;dònè;dòne;;;;dònas;dòna;dònô;dòne;dòn;dònâ;;dòn6rè;dòn6rje;dòn6rè;dòn6rè;dòn6rè;dònô;dòn;dòne;dòn;dòn;dòn;;dònjô;dòn;dònje;dòn;dòn;dòn
976;doper;;;;;;;;;;;;;;;;;;dòpè;;;;;;;;;dOp;;;;;;;;;;;;;;;;;;;;
977;dorer;;;;;;;;;;;;;;dòrè;;;;dòrè;;;;;;;;;dOr;dòrâ;;;;;;;;dOr;;;dOr;dOr;;;;;;;
978;dorloter;;;;;;;;;;;;;;;;;;;dOrlòte;;;;;;;;;;;;;;;;;dOrlOt;;;;dOrlOt;;;;;;;dOrlOt
