;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
590;cesser;;sèsè;;;sèsEr;sèsa;sès6rô;sès6rè;sès6re;;sès6rô;sès6ra;;sèsè;;sèsè;sèsè;sèsè;sèse;;sèsas;;;;;sèsô;sèse;sEs;sèsâ;;;;sès6rè;sès6rè;sès6rè;sèsô;sEs;sèse;sEs;sEs;sEs;;;;sèse;;;;;;
591;chagriner;;;;;;;;;;;;;;;;;;;Sagrine;;;;;;;;;;;;;;;;;;Sagrin;;;;Sagrin;;;;;;;;;;
592;chahuter;;;;;;;;;;;;;;;;;;Saytè;Sayte;;;;;;;;;;;;;;;;;;;;;;Sayt;;;;Sayte;;;;;;
593;chamailler;;;;;;;;;;;;;;;;;;;Samaje;;;;;;;;;;;;;;;;;;Samaj;Samaje;;;;;;;;;;;;;
594;chamarrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Samare;;;;;;;
595;chambarder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sâbarde;;;;;;;;
596;chambouler;;;;;;;;;;;;;;;;;;Sâbulè;;;;;;;;;;;;;;;;;;;;;;;Sâbul;;Sâbule;;Sâbule;;;;;;
597;chanceler;;;;;;Sâs6la;;;;;;;;Sâs6lè;;;;Sâs6lè;;;;;;;;;;;Sâs6lâ;;;;;;;;;;;;SâsEl;;;;;;;;;;
598;changer;;;;;SâZEr;SâZa;SâZ6rô;SâZ6rè;SâZ6re;SâZ6ra;SâZ6rô;SâZ6ra;;SâZè;SâZje;SâZè;SâZè;SâZè;SâZe;;;;;;;SâZô;SâZe;SâZ;SâZâ;;SâZ6rè;;SâZ6rè;;SâZ6rè;;SâZ;SâZe;SâZ;SâZ;SâZ;SâZe;SâZe;SâZe;SâZe;;SâZ;;;;SâZ
599;chanter;;;;;SâtEr;Sâta;;Sât6rè;Sât6re;Sât6ra;;Sât6ra;Sâtjô;Sâtè;;Sâtè;Sâtè;Sâtè;Sâte;;;;;;;Sâtô;Sâte;Sât;Sâtâ;;;;Sât6rè;Sât6rè;;Sâtô;Sât;Sâte;Sât;Sât;Sât;;Sâte;;Sâte;;;;;;
